wk,n,anger,share_angry,anger_dem,anger_rep,n_dem,n_rep,disgust,fear,sadness,joy,baseline,excess,spike_score,dem_excess,rep_excess
2011-01-03,571,0.16142516341321367,0.11733800350262696,0.21306178462292466,0.13778313066985906,175.0,382.0,0.17318809670012855,0.08596708194308648,0.14570702246150521,0.45484949908041494,0.1712413388090715,-0.009816175395857829,-0.2414370980691904,0.0,-0.029908740629167013
2011-01-17,780,0.2151246310259478,0.1782051282051282,0.25527130571892487,0.20538843389711067,200.0,556.0,0.2270726229935789,0.0748642458467004,0.1061345004542277,0.396417413567766,0.17778818126030022,0.037336449765647595,0.8875192790514217,0.04189558530721202,0.03678364247075641
2011-01-24,970,0.13391513877317848,0.09072164948453608,0.1388441755394028,0.134575034980937,352.0,593.0,0.14287831914735977,0.062065611667355004,0.07744613395975039,0.4917431988806185,0.18433502371152893,-0.05041988493835045,-1.1598627089159377,-0.07484548066109825,-0.03494267657274541
2011-01-31,937,0.1712413388090715,0.13553895410885805,0.16576494313000392,0.16951771155368242,360.0,556.0,0.17869800369661767,0.0904127319326988,0.08725451337861388,0.48306923720532413,0.19707048849804615,-0.02582914968897465,-0.5638077441606164,-0.04953920546814325,-0.009133228583921432
2011-02-07,907,0.18433502371152893,0.1466372657111356,0.21368965620050104,0.16769187129902607,343.0,553.0,0.19246586223975926,0.09042700690519201,0.084790514016066,0.4558350307216956,0.18433502371152893,0.0,0.0,0.0,-0.004111867311583722
2011-02-14,1202,0.2763292295335267,0.24875207986688852,0.29840141277841065,0.2670632624993648,438.0,739.0,0.2866411149147712,0.08644011543157934,0.13257846710025745,0.3605127530710961,0.19351419511046408,0.0828150344230626,1.8507822423621068,0.08309726418026347,0.0904232444281205
2011-02-21,768,0.15785698059880815,0.11848958333333333,0.18724520218880217,0.13757141749133542,278.0,483.0,0.1665807183138289,0.08522398081671174,0.08318479259348048,0.5082640338987403,0.2026933665093992,-0.04483638591059105,-1.0106768116375704,-0.02967343880699111,-0.04390488004054338
2011-02-28,1175,0.210615501223885,0.1804255319148936,0.21691864099579328,0.21070652020301328,429.0,718.0,0.21874073293931942,0.09734608737791473,0.1028360948200397,0.4049175408930379,0.2098059532845634,0.0008095479393216143,0.01838190123812147,-0.008381666077287686,0.022922351481488024
2011-03-07,1363,0.2208990302635186,0.18708730741012472,0.2324384506676138,0.19988553342754878,644.0,674.0,0.23414470757967953,0.10215142290623788,0.14283069862484638,0.37386012310777145,0.2026933665093992,0.01820566375411939,0.41797034156961943,0.015519809671820511,0.01840923589566998
2011-03-14,1229,0.2098059532845634,0.1822620016273393,0.22530030707308096,0.18778416872152526,517.0,684.0,0.21655155805169177,0.08759892932870604,0.10364047749433287,0.4110436656128121,0.2026933665093992,0.007112586775164187,0.1653845592595851,0.008381666077287686,0.006307871189646458
2011-03-21,1255,0.15735239077366858,0.1250996015936255,0.13160312108929828,0.1718037386106098,469.0,748.0,0.1770423329765519,0.07859419035239226,0.11299034524968718,0.4900664463494552,0.2026933665093992,-0.04534097573573062,-1.0696731743339667,-0.085315519906495,-0.009672558921269003
2011-03-28,1416,0.2026933665093992,0.16807909604519775,0.22835076597654716,0.1814762975318788,543.0,848.0,0.21354737879950447,0.08432102774198846,0.09582439826842197,0.40608799370797616,0.2026933665093992,0.0,0.0,0.0030504589034661966,0.0
2011-04-04,1810,0.3037931446387376,0.2740331491712707,0.39183505611317987,0.25307673124588237,666.0,1130.0,0.31004293080475903,0.0947559536092539,0.13735989743833385,0.31707466634592424,0.19129438982309244,0.11249875481564514,2.708403634867821,0.1749164151173866,0.08127299263527257
2011-04-11,1495,0.24988238542001184,0.2193979933110368,0.3006550332098465,0.20764207087936784,639.0,835.0,0.2593112588096971,0.07520561161152022,0.11970716134604553,0.3773456590480629,0.2026933665093992,0.04718901891061264,1.1471050777549705,0.07535472613676553,0.02616577334748904
2011-04-18,789,0.14949120884862727,0.10899873257287707,0.17668934792520538,0.1226888863066694,310.0,467.0,0.16600696791579572,0.08184009802932597,0.09116808096293941,0.5159922139111232,0.1932771799069914,-0.043785971058364126,-1.0709931145435465,-0.04861095914787558,-0.058787411225209404
2011-04-25,907,0.12940045559928726,0.08489525909592062,0.13568113310835683,0.12067509370785381,338.0,554.0,0.1450170163530343,0.10210926163440535,0.10560978096709592,0.4722016763446243,0.19129438982309244,-0.06189393422380518,-1.5315102016816842,-0.06326274794959738,-0.05112864490275598
2011-05-02,1569,0.1685150825871728,0.1268323773103888,0.19187880636646895,0.15105837013491746,681.0,877.0,0.1779125775605288,0.12614599622814537,0.10446340475709832,0.44331374853627414,0.1815606128985382,-0.013045530311365405,-0.3267116338668604,-0.0070650746914852625,-0.01257089400805253
2011-05-09,1426,0.19129438982309244,0.15778401122019636,0.25269028265717564,0.14993481981003465,575.0,838.0,0.2001129136192854,0.08499138704324755,0.0835859282667191,0.4251269943803826,0.1815606128985382,0.009733776924554238,0.2467237066521649,0.05374640159922142,-0.013694444332935346
2011-05-16,1637,0.15403953681557134,0.12156383628588882,0.1989438810579542,0.13266192543905253,471.0,1156.0,0.1660563989568595,0.07233067518828361,0.08860101646083199,0.5168205447055209,0.1815606128985382,-0.02752107608296686,-0.6868042033249598,0.005177248183779154,-0.030967338703917463
2011-05-23,1592,0.20462736610706952,0.1777638190954774,0.2316215425171954,0.19118296142771424,561.0,1004.0,0.20480559938107548,0.0807779351879384,0.10137058329509908,0.44617674288535303,0.1815606128985382,0.023066753208531326,0.5822050859321527,0.03974273615072646,0.027553697284744244
2011-05-30,1210,0.1932771799069914,0.15619834710743802,0.19376663287417506,0.19364421137077087,403.0,778.0,0.21011655848542582,0.08961291563127591,0.11954652155472412,0.42224891554248667,0.1815606128985382,0.011716567008453194,0.29872822776347974,0.0018878265077061085,0.030014947227800876
2011-06-06,1072,0.14504098631710913,0.10541044776119403,0.16480826731071452,0.13301671835696424,362.0,663.0,0.16329496273025523,0.09189148892261047,0.10689836873546062,0.4890956371790667,0.18452409663149855,-0.03948311031438942,-1.0152351185886335,-0.028958365563460542,-0.036906496871439626
2011-06-13,1451,0.1815606128985382,0.13921433494141972,0.21213175929502917,0.16362926414297,530.0,861.0,0.19471788188689057,0.08224670092869218,0.10821160275474971,0.44037756000803996,0.19129438982309244,-0.009733776924554238,-0.2515144123389645,0.013187878237074957,-0.025235679600136007
2011-06-20,1588,0.17362472560709477,0.13035264483627204,0.1661041740221765,0.16992321522840387,622.0,818.0,0.18994650765913315,0.10047042525639659,0.1184916119437233,0.4091047006698797,0.1932771799069914,-0.01965245429989662,-0.5070386620551197,-0.03756854303992324,-0.02125974619931037
2011-06-27,1252,0.18452409663149855,0.152555910543131,0.18317988308743366,0.188864943743106,515.0,621.0,0.20023118770315337,0.10076685123385105,0.11660981409552212,0.433299522465333,0.1932771799069914,-0.008753083275492846,-0.21316341965332816,-0.015763997970520555,-0.004779267627664868
2011-07-04,1376,0.22318494019807902,0.19113372093023256,0.1852126967679789,0.2372711250793966,419.0,882.0,0.2476932040691852,0.09940270451574348,0.15007208222029245,0.3973209951722691,0.1932771799069914,0.02990776029108763,0.7333377803958051,-0.008553936106196147,0.04362691370862573
2011-07-11,1519,0.25353880578387156,0.23173140223831468,0.24895515441624091,0.2547062236683232,551.0,907.0,0.2663250334727639,0.09919215864124828,0.1294147269490682,0.3692597241943777,0.18452409663149855,0.06901470915237301,1.6801959553517265,0.063742457648262,0.061062012297552315
2011-07-18,1825,0.2554542000443764,0.21808219178082192,0.26379621691267124,0.25513514721213015,611.0,1145.0,0.2682203908254431,0.0871197703927245,0.1364646555442516,0.345064589914751,0.1815606128985382,0.07389358714583821,1.7327346734075113,0.08061633382523758,0.06627020346902415
2011-07-25,2131,0.27551222695601496,0.2383857343969967,0.31256806010798105,0.26138840893370885,709.0,1364.0,0.2859021909620153,0.09284016246324407,0.13359346003295677,0.3100898258197058,0.1815606128985382,0.09395161405747676,2.1984652042059696,0.1293881770205474,0.06609920137726433
2011-08-01,1507,0.21638831381322032,0.17584605175846052,0.20367271706209975,0.2231822719639609,451.0,991.0,0.23466993111489165,0.08862336126651167,0.1480787307331147,0.3845935322980223,0.17773499294929626,0.03865332086392406,0.9152580184818621,0.034505233050453527,0.027351319426735687
2011-08-08,901,0.1736975025766003,0.14317425083240842,0.1365560026983429,0.1958309525372252,278.0,581.0,0.1821041966583807,0.07307403280940342,0.11235162418813224,0.47860529891873704,0.18452409663149855,-0.010826594054898248,-0.25794734975946754,-0.046623880389090766,-0.012112281277105147
2011-08-15,817,0.1544279209930892,0.12239902080783353,0.12428714970281969,0.1768496551152334,300.0,486.0,0.16358608094293675,0.07526926233489044,0.0775468840538507,0.5071772794014657,0.17773499294929626,-0.02330707195620707,-0.5429368869289424,-0.04488033430882653,-0.031093578699096958
2011-08-22,1044,0.1516547255731862,0.12452107279693486,0.16916748401164622,0.1410920844440732,462.0,544.0,0.16994063715429056,0.1279806765657225,0.11480822913095326,0.44951717474166003,0.17773499294929626,-0.02608026737611005,-0.6059476836776007,0.0,-0.06685114937025716
2011-08-29,999,0.16001271563269817,0.12912912912912913,0.1671743871857013,0.1570501938740152,350.0,620.0,0.1787361581353014,0.09341385493565861,0.11939674454486675,0.4795798611420732,0.17773499294929626,-0.01772227731659809,-0.4179636996318624,-0.0019930968259449233,-0.04929382217606712
2011-09-05,1494,0.1620825045647653,0.12248995983935743,0.11483937149932233,0.19528920755644452,546.0,893.0,0.17832393063621288,0.10821256083059168,0.15617035845060206,0.40719771580028796,0.1736975025766003,-0.011614998011834993,-0.272417849036093,-0.052335015686378966,-0.0005417449807806896
