year,hour_local,n,anger,share_angry,negative,disgust,joy,optimism,fear,sadness,anger_se,anger_dev
2011,5,435,0.1630614618256945,0.12183908045977011,0.0959022771576473,0.1747735808335844,0.4604622656404544,0.4579872059785686,0.06084164553428947,0.10115021029915447,0.012558038280397477,-0.03626808322599279
2011,6,1071,0.16235005618512185,0.12885154061624648,0.11419893599300751,0.17458607645637514,0.434006801340729,0.4522137223724641,0.07941146297567288,0.11348110652614792,0.007937895250065113,-0.036979488866565435
2011,7,1884,0.17071089022565483,0.131104033970276,0.11977657750004214,0.17954476866223543,0.4457381028806071,0.44769606133478035,0.07496341292569889,0.10498342758703051,0.00609092079150456,-0.028618654826032458
2011,8,3511,0.18059821343444643,0.14383366562232983,0.130875008296871,0.1951017679838393,0.41833205799124146,0.41807500544865966,0.08858138959556691,0.11351157542372749,0.004532182647405081,-0.01873133161724086
2011,9,5875,0.18469922071520953,0.14485106382978724,0.12321616270407004,0.19797504270005417,0.4217992637513324,0.4311452377209479,0.08515537880230299,0.10994326931816784,0.0035294801209100127,-0.014630324336477762
2011,10,6646,0.1931134093248179,0.1599458320794463,0.1312774784375228,0.20578978488017452,0.4241549401947477,0.43333546218410157,0.09400638424324893,0.11710272842974452,0.0034821231708844027,-0.006216135726869382
2011,11,6554,0.1989810663066676,0.16539517851693622,0.13947660750831326,0.2117797245456518,0.4253195891743523,0.440503626584033,0.09079474999809078,0.11629811739956868,0.0035338117109772805,-0.000348478745019698
2011,12,6104,0.2015104550834096,0.17087155963302753,0.13654189913004267,0.21265863940708077,0.4307570239648938,0.4487761113841329,0.09219902040164364,0.11330209646558909,0.0036974226971072735,0.0021809100317222996
2011,13,5964,0.2084819753382197,0.17538564721663313,0.14112997986296255,0.2193464509893576,0.43044996429379967,0.4466289249341716,0.09242583600037321,0.11370691916420318,0.0037919200131455518,0.009152430286532398
2011,14,6164,0.19968137484830112,0.16596365996106424,0.13691844472341566,0.20905906595407558,0.43065742440066934,0.4511279110432772,0.092979268295203,0.11153425586982198,0.003664347812063652,0.0003518297966138284
2011,15,5821,0.20836109168468508,0.17368149802439442,0.14423405248274185,0.2188819492879914,0.42563580005685514,0.44097230819467853,0.09427208104766835,0.11506553110566577,0.0038486484802406546,0.009031546632997794
2011,16,5198,0.1976650248456527,0.16410157752981916,0.133888385259802,0.20842242131074915,0.42671984921101297,0.44454919676794147,0.08753469674210176,0.1119915938175779,0.003952406769600724,-0.001664520206034581
2011,17,3954,0.20676027625195256,0.1734951947395043,0.14129933464005456,0.21636269590923385,0.4278988474357584,0.44545986241384017,0.09015905758695508,0.11230576822376863,0.004676046772329586,0.0074307312002652726
2011,18,2321,0.2069813036735024,0.17061611374407584,0.14386746449665258,0.2136470124457322,0.42881192407692764,0.44163979789224495,0.07897961815680309,0.10971183906450148,0.006000556304152504,0.007651758621815108
2011,19,1433,0.22502717030295077,0.19958129797627355,0.15857834928533854,0.2332684036905813,0.42694956853313776,0.4456653891798091,0.08124349778485584,0.11988093491236823,0.00797489868231963,0.025697625251263484
2011,20,986,0.22128099601330428,0.1876267748478702,0.170234883616515,0.23190385544612158,0.4380081901756544,0.4445343051033952,0.0919150799655962,0.1380588959923305,0.009619702116205974,0.02195145096161699
2011,21,757,0.24724827780138547,0.21532364597093792,0.18513433937176502,0.2552202685872681,0.4345816936377126,0.4323188091315762,0.07363959593831253,0.13190823744076993,0.011739522978854446,0.047918732749698184
2011,22,565,0.2423744297874844,0.20707964601769913,0.1793703733718814,0.24725269229209001,0.43850713509044287,0.4723169335872924,0.0860859984276503,0.1300354131604586,0.013380194995303435,0.04304488473579712
2011,23,355,0.2681278746745641,0.23943661971830985,0.2144583616507384,0.2734723701640229,0.40364254118848436,0.4357053609512431,0.09815397413552437,0.16727261715634187,0.017142145503386875,0.06879832962287682
2012,5,544,0.1899453692659496,0.15992647058823528,0.12508906232238481,0.19843460536075702,0.4428646139773157,0.4588780632415471,0.07477586629273206,0.11060596817782532,0.012211150506408072,-0.004440595464308084
2012,6,1165,0.18019896208832256,0.14506437768240343,0.1263692734714062,0.1874511686501457,0.4410953628678722,0.47758236824227057,0.09036972414054648,0.11703470664162813,0.008035507495486892,-0.01418700264193512
2012,7,2143,0.20798371815654165,0.17965468968735418,0.1377796292410326,0.21593460622141455,0.44061696043583976,0.430981323713149,0.0873389426791346,0.12192243503426635,0.006492184408114112,0.01359775342628397
2012,8,4006,0.1831923160183323,0.15601597603594608,0.13802528622454657,0.19470310428284882,0.46980116117244175,0.4458080687742872,0.0925894020062151,0.1264832177716928,0.0045143121272748395,-0.01119364871192538
2012,9,6795,0.1825515829073642,0.1509933774834437,0.12657789036573677,0.19317712689166705,0.4658281182208612,0.45593396068665093,0.09747318123053346,0.1189698951622448,0.003367777941056424,-0.01183438182289348
2012,10,7825,0.19361223060747804,0.16140575079872205,0.13923557751332247,0.20526096416066011,0.4544173418765013,0.4499019308603062,0.09909810359027392,0.12061041706518386,0.0032410459876039584,-0.0007737341227796457
2012,11,7971,0.19601876782296615,0.16497302722368587,0.14363571995723348,0.20676813262622612,0.46298581880663703,0.4664188529266737,0.1009092865671669,0.12539228580257886,0.0032098937580629693,0.001632803092708468
2012,12,6977,0.19839124433631264,0.1646839615880751,0.1441784752233,0.20748298009557195,0.45859207206524366,0.46766469379077,0.09846961605168374,0.12102823862560351,0.003475646687787371,0.004005279606054957
2012,13,6748,0.2070499137288239,0.17990515708358032,0.14927309063908906,0.21524205231641888,0.46973864970139845,0.4672683684184535,0.09654106331383147,0.12420285702469108,0.003661352682530499,0.01266394899856621
2012,14,7076,0.1953076709407619,0.16252119841718485,0.13534185493068068,0.2028587994445668,0.47727218697392715,0.4818631095591661,0.09560726635673869,0.11424434664680261,0.0034289570268980084,0.0009217062105042195
2012,15,6695,0.1954991298635185,0.1672890216579537,0.1352193239361814,0.20218239504032956,0.47289556234823216,0.47644820907365326,0.09391177888751681,0.11169025120718365,0.0035163344431185816,0.0011131651332608183
2012,16,5829,0.19130068647126072,0.16006176016469378,0.13362171817328666,0.19913792885602835,0.4773994777358009,0.47200695435801093,0.09709444521026177,0.10995097816256312,0.0037695095304890367,-0.0030852782589969596
2012,17,4058,0.19157234142144738,0.16609167077378018,0.13160347312380663,0.1963605507461243,0.49381768589707603,0.4829066954207725,0.09633028686210465,0.11357271073268109,0.004553916769021431,-0.002813623308810298
2012,18,2206,0.1901024761278324,0.1586582048957389,0.13048518140176954,0.1961550043512926,0.486994691265085,0.4773055079081944,0.09095507091304315,0.11532037385383913,0.005985754665432677,-0.004283488602425278
2012,19,1431,0.2065564335176134,0.1774982529699511,0.14700358375299405,0.21163815590712437,0.47596485025147245,0.4580923110389188,0.08250479929729682,0.12117586549173631,0.008020033843722943,0.012170468787355726
2012,20,998,0.17296038674636705,0.14228456913827656,0.1205414457618537,0.18382682094587488,0.5148412687396015,0.46387980916800503,0.07731079254607355,0.11372972395549154,0.008520646630611757,-0.021425577983890637
2012,21,734,0.19289147308634275,0.16893732970027248,0.15141320968654554,0.20219438083657654,0.5062940407770227,0.44986736594777993,0.06862589959067873,0.1221710730880773,0.010556025273569877,-0.0014944916439149358
2012,22,613,0.21952222862249,0.19086460032626426,0.17908229828955755,0.22463170806368354,0.48742060965993617,0.46080258422566134,0.06595382481307509,0.12109515851828441,0.012329166783524139,0.025136263892232308
2012,23,365,0.21967335006298677,0.18356164383561643,0.17693338124177177,0.22762516471876265,0.49240023462765226,0.46675325680447566,0.060842464931870566,0.11959847075328843,0.01583665961160942,0.02528738533272909
2013,0,320,0.2657020305705373,0.25,0.18915513010470023,0.26974164067360107,0.4723112877167296,0.43832827194564744,0.09330612958437996,0.13372385406692047,0.019042960491731,0.05871162946851491
2013,3,300,0.20929249901790173,0.18,0.14238401772493187,0.21322107293022174,0.4937292156368494,0.5394275377582137,0.07908085063255081,0.1270153731262932,0.01704816435584096,0.0023020979158793198
2013,4,600,0.1930214909192485,0.16833333333333333,0.1281688301092557,0.19971795946670076,0.5058272336299221,0.5065824427649689,0.0793626388895791,0.11577042774452517,0.011790360497305884,-0.013968910182773908
2013,5,1083,0.1972159151239828,0.16620498614958448,0.12614978680854522,0.20596631805327337,0.4567455213193611,0.47928254024984723,0.10548313582377958,0.11764877948897959,0.008819716903081332,-0.009774485978039621
2013,6,2574,0.20121983107955144,0.17443667443667443,0.1327825014324057,0.21010820599502242,0.4436000219083854,0.45431458885874093,0.10378278032364577,0.11481895486635345,0.005811339091494766,-0.005770570022470972
2013,7,4950,0.20730019880599823,0.1795959595959596,0.13726423857558395,0.21406180347494705,0.4543010879305163,0.4467161679149351,0.09754466804097209,0.11782280682482653,0.004284844618166375,0.0003097977039758226
2013,8,9128,0.19754168786550078,0.16794478527607362,0.1354327482295335,0.20814844719993358,0.4612874670164004,0.45303475338870564,0.10470210436253978,0.1198190928860339,0.0030582188267336665,-0.009448713236521633
2013,9,15403,0.20546020033159776,0.17736804518600272,0.13883531256756096,0.2165290856534267,0.4534862063149025,0.4523098669009732,0.10434770337205895,0.12315592560907465,0.002388664267984433,-0.00153020077042465
