cycle,weeks_to_election,n,anger,share_angry,negative,anger_dev
2012,0,1139,0.11642152270877813,0.07374890254609306,0.08660172602661359,-0.08186310873784035
2012,1,1267,0.11517261616237338,0.07419100236779795,0.10589717043987854,-0.0831120152842451
2012,2,1060,0.14173629202546095,0.10849056603773585,0.09663872646150302,-0.05654833942115753
2012,3,1181,0.16576286338768098,0.14055884843353092,0.12506093547328956,-0.0325217680589375
2012,4,1081,0.16443095749776523,0.13135985198889916,0.12372217576416204,-0.03385367394885325
2012,5,1144,0.186038432236585,0.15034965034965034,0.1377312836179858,-0.012246199210033476
2012,6,1723,0.21522325026417324,0.18804410911201394,0.14850800559872618,0.016938618817554763
2012,7,1786,0.1934152303471085,0.1629339305711086,0.16186405684483995,-0.004869401099509979
2012,8,1571,0.16055494310161814,0.13049013367281986,0.1672332465988338,-0.037729688345000345
2012,9,798,0.15380161227413305,0.12656641604010024,0.14758111110521963,-0.04448301917248543
2012,10,1174,0.13065591599479687,0.10136286201022146,0.1029475502735456,-0.06762871545182161
2012,11,1008,0.15511474356568966,0.12896825396825398,0.11516104423046475,-0.04316988788092882
2012,12,1096,0.14844041737348834,0.12043795620437957,0.10482816229060073,-0.04984421407313014
2012,13,1694,0.2386943340750132,0.21487603305785125,0.15513438530495266,0.04040970262839472
2012,14,1975,0.22449484030350667,0.2,0.14210804542196515,0.026210208856888184
2012,15,1992,0.20454112821900058,0.1686746987951807,0.1829318091025867,0.006256496772382103
2012,16,1905,0.2690392479060946,0.2388451443569554,0.18005810659577376,0.07075461645947614
2012,17,1203,0.21604716999716406,0.18204488778054864,0.16544832852705832,0.017762538550545576
2012,18,2039,0.25545754324820197,0.22707209416380578,0.1548845683409028,0.05717291180158349
2012,19,1848,0.2306547565456254,0.19480519480519481,0.14178130265755692,0.03237012509900691
2012,20,1696,0.17619761124962746,0.14150943396226415,0.10924669011756294,-0.02208702019699102
2012,21,1802,0.19388081715132144,0.15871254162042175,0.12281697243975359,-0.004403814295297043
2012,22,1731,0.22411916037975174,0.1900635470826112,0.16437522068754637,0.02583452893313326
2012,23,1400,0.16023360448423773,0.12928571428571428,0.11370169029088824,-0.038051026962380746
2012,24,1609,0.2085908173292301,0.18396519577377252,0.12748955610130652,0.010306185882611618
2012,25,1504,0.19212181128975142,0.1668882978723404,0.11858512670392458,-0.00616282015686706
2012,26,1240,0.16681313025126715,0.13225806451612904,0.11553200862601384,-0.03147150119535133
2012,27,1827,0.225528689587135,0.20306513409961685,0.15509387801525443,0.02724405814051653
2012,28,1547,0.16825279017591893,0.13186813186813187,0.11003209324026843,-0.03003184127069955
2012,29,1397,0.19274539622073525,0.15676449534717252,0.14018741056552883,-0.005539235225883232
2012,30,1013,0.1519621917794055,0.11352418558736427,0.11491309337226926,-0.04632243966721297
2012,31,1368,0.246621636855239,0.2185672514619883,0.18388208867171887,0.048337005408620515
2012,32,1735,0.2176331489803189,0.18213256484149856,0.1387101359723769,0.019348517533700427
2012,33,1152,0.18296431072061145,0.1440972222222222,0.12222038657940477,-0.01532032072600703
2012,34,1602,0.17934085226579385,0.1491885143570537,0.11784198935809005,-0.018943779180824627
2012,35,1808,0.19792043169034723,0.16648230088495575,0.14570232643662134,-0.00036419975627124956
2012,36,1407,0.15107064216954377,0.12651030561478321,0.10788458874957157,-0.04721398927707471
2012,37,1467,0.24339244746201213,0.2256305385139741,0.17489667237412035,0.045107816015393654
2012,38,1585,0.23396095818214188,0.20946372239747635,0.1508099135971402,0.0356763267355234
2012,39,1943,0.21935516803554628,0.1914565105506948,0.13460297150428566,0.021070536588927796
2012,40,1766,0.19365991595795004,0.1681766704416761,0.13478967601201092,-0.0046247154886684405
2012,41,2085,0.26573536676450743,0.2489208633093525,0.20415814077471578,0.06745073531788895
2012,42,1088,0.15282746188955465,0.12775735294117646,0.09763706607276725,-0.04545716955706383
2012,43,1119,0.16827881381946005,0.13762287756925826,0.11669486102977246,-0.030005817627158426
2012,45,568,0.26349868939887783,0.23415492957746478,0.17463500575514176,0.06521405795225935
2012,46,1592,0.2820816385421092,0.24748743718592964,0.19825260157257565,0.08379700709549073
2012,47,1792,0.22972513118475035,0.20145089285714285,0.14439099949062698,0.03144049973813187
2012,48,1693,0.18706843363202566,0.15062020082693445,0.1397035281376116,-0.011216197814592821
2012,49,786,0.12648451034484418,0.09287531806615776,0.09494498182747527,-0.0718001211017743
2012,50,1787,0.2028049674241063,0.16452154448796866,0.15918677946414264,0.004520335977487827
2012,51,1462,0.16085615794355287,0.1347469220246238,0.09748270697572406,-0.03742847350306561
2012,52,1442,0.19836687819997362,0.15603328710124825,0.13297202215594886,8.224675335513632e-05
2012,53,1321,0.18488922263238294,0.1514004542013626,0.12754660049142466,-0.013395408814235538
2012,54,1461,0.18242334362953228,0.1457905544147844,0.12380793960086114,-0.015861287817086206
2012,55,1686,0.19999644525066318,0.16725978647686832,0.12759977750922635,0.0017118138040446984
2012,56,1348,0.20064906890017675,0.17210682492581603,0.13104344442431837,0.0023644374535582713
2012,57,1422,0.18824794946818674,0.16033755274261605,0.12199641713962933,-0.010036681978431744
2012,58,1327,0.20073764064274138,0.16729464958553128,0.13691023288330817,0.0024530091961229017
2012,59,1402,0.19714219368809566,0.16619115549215407,0.12111446704066488,-0.001142437758522824
2012,60,1686,0.1554041595668018,0.11684460260972716,0.13945685208683684,-0.04288047187981667
2012,61,885,0.1703615898350622,0.1344632768361582,0.14295471319415748,-0.027923041611556287
2012,62,1032,0.12907499347158252,0.09011627906976744,0.09796689323169024,-0.06920963797503596
2012,63,878,0.16367470251411148,0.14009111617312073,0.1062856830106539,-0.034609928932507
2012,64,865,0.17343431195362627,0.14566473988439307,0.11480197397866852,-0.024850319492992212
2012,65,1163,0.21080290848591068,0.17884780739466896,0.1792862527864214,0.012518277039292203
2012,66,2178,0.25401810359887955,0.21166207529843895,0.19927081186882917,0.05573347215226107
2012,67,1884,0.2603168124179781,0.22452229299363058,0.18023265587391368,0.062032180971359624
2012,68,1561,0.2522578672440287,0.22549647661755284,0.16669708052132526,0.05397323579741023
2012,69,1654,0.2532886866302181,0.2249093107617896,0.1935709088770763,0.055004055183599604
2012,70,1039,0.17569016962633957,0.1530317613089509,0.11860971903980595,-0.02259446182027891
2012,71,1583,0.17913318255125527,0.1301326595072647,0.12807435900857173,-0.019151448895363216
2012,72,1425,0.16955976481271678,0.12842105263157894,0.12405673021042164,-0.028724866633901697
2012,73,1185,0.1542003684492491,0.11561181434599156,0.11365391976536028,-0.044084262997369394
2012,74,1255,0.1887111073267086,0.14581673306772908,0.1388360874563181,-0.009573524119909887
2012,75,1397,0.21051263211611004,0.18468146027201146,0.13353080669197648,0.012228000669491562
2012,76,1597,0.15631875102673573,0.12648716343143393,0.0985940125406823,-0.04196588041988275
2012,77,1533,0.19405347020735883,0.16177429876060012,0.11736421476733984,-0.004231161239259651
2012,78,1407,0.18091485412793357,0.14925373134328357,0.10255259623102031,-0.017369777318684915
2012,79,1247,0.12475176647368225,0.07457898957497995,0.09772701839419379,-0.07353286497293623
2012,80,731,0.14789144723407321,0.1039671682626539,0.09610822553910116,-0.05039318421254527
2012,81,1447,0.24767358600868025,0.21630960608154803,0.1660960779999046,0.04938895456206177
2012,82,1670,0.29227608940508326,0.26107784431137726,0.18484447616512167,0.09399145795846478
2012,83,1564,0.22580528750216536,0.19053708439897699,0.13928981710751148,0.027520656055546877
2012,84,1280,0.1730540423963248,0.14375,0.11987178919735016,-0.025230589050293684
2012,85,1169,0.1848070559245626,0.1514114627887083,0.12490676681842126,-0.01347757552205589
