year,party,hour_local,n,anger,share_angry,negative,disgust,joy,optimism,fear,sadness,anger_se,anger_dev
2011,Democrat,6,352,0.21018626664193685,0.1875,0.13670362784531873,0.21758348744531925,0.4071051080629166,0.40975862882227043,0.07867977394595403,0.11479612278741445,0.016172122497791076,0.003997464792886624
2011,Democrat,7,716,0.2276177847408039,0.19692737430167598,0.1728037084324686,0.235510096427407,0.420929269331856,0.4292593908154109,0.09523524302311565,0.12231342300093687,0.011711133480424178,0.021428982891753684
2011,Democrat,8,1222,0.2109956756587035,0.18330605564648117,0.15237044347093842,0.21811045015249067,0.4305564300012325,0.4485777503785673,0.09547169788614061,0.11681986602446988,0.008698946048554413,0.004806873809653278
2011,Democrat,9,1974,0.19877139136469768,0.16818642350557245,0.1325585759288972,0.20666326857440875,0.43901015003141025,0.45558087598473934,0.08865792517127562,0.10862920750423194,0.006603691697089488,-0.0074174104843525435
2011,Democrat,10,2516,0.19566356012096484,0.16891891891891891,0.1340117618306103,0.2027703703072778,0.4549627836108125,0.4717147636739241,0.1004343969631379,0.11832327336007774,0.00581839651451408,-0.010525241728085388
2011,Democrat,11,2636,0.20658534094610015,0.18133535660091046,0.14289631031663652,0.21394457122468571,0.444609705819282,0.47357913164551935,0.09729979810310593,0.11660591506346925,0.0058457279129700305,0.00039653909704992496
2011,Democrat,12,2436,0.20961854140670305,0.19170771756978652,0.1408983709119346,0.21622494010354906,0.46001475927789276,0.4749690279361145,0.10075651596184462,0.11579021474473447,0.006217715584641137,0.003429739557652828
2011,Democrat,13,2404,0.21390803187977858,0.18718801996672213,0.14568473400118856,0.21945744186284147,0.45885421899178325,0.4803536757613732,0.09874011926254576,0.11502622571652182,0.006219562805570963,0.007719230030728358
2011,Democrat,14,2529,0.1898587393652119,0.16330565440885725,0.12999592798439522,0.19580436499105136,0.4672851710456555,0.48259299437004666,0.100250167063739,0.10806132970155376,0.005771053004690768,-0.016330062483838337
2011,Democrat,15,2314,0.2110354733080245,0.1853932584269663,0.1456162850509334,0.2184468916878539,0.45266396592209374,0.46608442525289207,0.10260839657894237,0.11508974753957735,0.006355527948857003,0.004846671458974272
2011,Democrat,16,2054,0.19937026767402946,0.1733203505355404,0.13582283634651168,0.20545915277319313,0.4567332714211156,0.4755723157527148,0.09572079912836445,0.11256696797200925,0.006621604755000369,-0.006818534175020763
2011,Democrat,17,1532,0.21657071725949256,0.19321148825065274,0.1456645955830872,0.22308156851195188,0.4533849774319411,0.4646569114383894,0.10114170488729397,0.11861875056813158,0.007873118989280791,0.010381915410442338
2011,Democrat,18,791,0.2227015131013056,0.1997471554993679,0.14949265737413261,0.22340029990477145,0.44973714686559296,0.46833882401915156,0.09721927124919787,0.11026697246211802,0.010794932341682393,0.01651271125225537
2011,Democrat,19,459,0.2134232890532476,0.19172113289760348,0.16106925124260912,0.2219681857855816,0.4660178090177866,0.46835003305563383,0.09271909818174986,0.1242263044559342,0.014367377925391443,0.007234487204197365
2011,Democrat,20,323,0.21344448773092345,0.17956656346749225,0.17279060315535383,0.22358157192774972,0.457598216814384,0.46555713648351355,0.12361698673501749,0.13970369975812064,0.016874414850098062,0.007255685881873225
2011,Republican,6,637,0.1303030343483578,0.09105180533751962,0.09999515942471128,0.14235548616578478,0.4687939267693266,0.4914458020498137,0.07804687596452561,0.10203972192454844,0.008943729998497895,-0.06286072353603964
2011,Republican,7,1068,0.1333547521270079,0.0898876404494382,0.0853797298484815,0.14117116400011037,0.4697819128536623,0.46667039934467275,0.06338032617535415,0.08903649201126566,0.006776887579240369,-0.05980900575738954
2011,Republican,8,2185,0.16143680355560622,0.12173913043478261,0.11786112001027754,0.17980693538036002,0.41809910280689666,0.40271492543709153,0.08379450770077941,0.110037220635364,0.005240743295492433,-0.03172695432879122
2011,Republican,9,3679,0.17708179613293842,0.1331883664039141,0.12130249805097752,0.19198711098369983,0.4185376888226852,0.4254403387195856,0.08506085086831852,0.10917852644004347,0.0042663246548988246,-0.016081961751459012
2011,Republican,10,3899,0.18864906269344678,0.1515773275198769,0.12967549584102875,0.203556718689321,0.41482696330395036,0.4154314853294692,0.08956559104751771,0.11220835089692131,0.00444962916866478,-0.004514695190950657
2011,Republican,11,3689,0.19238573833330597,0.15288696123610734,0.13778205253307546,0.20794509970877137,0.41833116391440917,0.42345672707316007,0.08689852925769805,0.1132233993124543,0.004551074983290935,-0.0007780195510914689
2011,Republican,12,3443,0.19436871530766744,0.15596863200697067,0.13302964454888974,0.20750473819512386,0.4197579788571835,0.4373102182086374,0.08563996358144885,0.1081718049230416,0.004692220775015461,0.0012049574232700089
2011,Republican,13,3366,0.20201426142234846,0.16428995840760546,0.13534124247730886,0.21541500237988406,0.4205148029669597,0.43011717640075986,0.08770096593873163,0.10893677339949427,0.0048705216567551885,0.008850503537951027
2011,Republican,14,3453,0.20588229004322808,0.1673906747755575,0.1414505617082906,0.21668399935855256,0.4126590439350399,0.4350449286142077,0.08793314643200975,0.11073586130444615,0.004869633881193688,0.012718532158830648
2011,Republican,15,3335,0.2027274601005096,0.1619190404797601,0.14151246687704544,0.2142944511133658,0.4162862156480104,0.4304373637276019,0.08865183152194167,0.11018781800582625,0.0048939555023283995,0.009563702216112163
2011,Republican,16,2955,0.19300668006936206,0.15465313028764804,0.1299785069606776,0.2055957684504552,0.41688550972787886,0.42948368105977497,0.08081222218280112,0.10557563336591304,0.005022352012238936,-0.000157077815035378
2011,Republican,17,2255,0.20009456248396384,0.16097560975609757,0.13807573421592897,0.2103843744575746,0.42147725055277135,0.4407853453071115,0.08307719347758957,0.1045657732309216,0.006016200184830046,0.006930804599566409
