year,party,n,civic,gratitude,polarizing,any_civic_lang,any_outgroup
2011,Democrat,24967,0.012776865462410381,0.03969239396002724,0.06420475027035687,0.01866463732126407,0.08719509752873793
2011,Republican,38616,0.008234928527035426,0.039517298529107105,0.03923244251087632,0.012222912782266417,0.07613424487259167
2012,Democrat,33156,0.015924719507781397,0.05299191699843166,0.039691156955000605,0.022590179756303536,0.059506574978887686
2012,Republican,38563,0.012032258901019112,0.045250628841117135,0.06394730700412313,0.016336903249228533,0.11199854783082229
2013,Democrat,82584,0.024702121476315026,0.06687736123219994,0.030356969873098907,0.03139833381768865,0.04680083309115567
2013,Republican,86313,0.01280224299931644,0.05057175628236766,0.10400519041164136,0.01825912666689838,0.16226987823386976
2014,Democrat,103738,0.016445275598141473,0.06727525111338178,0.018739516859781372,0.020947001098922283,0.03310262391794713
2014,Republican,82482,0.014039426784025606,0.06067990591886715,0.06258335151911933,0.019713392012802793,0.09831235906015857
2015,Democrat,100073,0.02094471036143615,0.06865987828884915,0.023283003407512517,0.02637074935297233,0.03906148511586542
2015,Republican,96534,0.017413553773799904,0.07073155572130027,0.031688317069633494,0.023763648041104687,0.05461288250771749
2016,Democrat,110779,0.01714223814982984,0.08041235252168732,0.030095956814919795,0.02382220456945811,0.04381696892010219
2016,Republican,101984,0.01593387197991842,0.08100290241606527,0.03232860056479448,0.021405318481330406,0.050292202698462504
2017,Democrat,172152,0.01958734141921093,0.05683930480040894,0.17492680886658302,0.030821599516706166,0.21427575630837864
2017,Republican,103058,0.024132042151021754,0.08539851345844088,0.019202779017640552,0.03122513536067069,0.0377263288633585
2018,Democrat,158944,0.032244060801288506,0.07300684517817596,0.1711986611636803,0.05386802899134286,0.20436757600161062
2018,Republican,104685,0.04222190380665807,0.1131394182547643,0.024674022066198596,0.054286669532406746,0.03767492955055643
2019,Democrat,291480,0.03672636201454645,0.09886441608343625,0.13263688760806916,0.05827501029230136,0.16090297790585975
2019,Republican,148280,0.04200836255732398,0.10168599946048017,0.09426085783652549,0.06105341246290801,0.12449420016185594
2020,Democrat,345529,0.03382349961942413,0.07234993300128209,0.11680929820651813,0.04868187619563047,0.14463040728853438
2020,Republican,180287,0.03649736253861898,0.08911346907985601,0.0900453166340335,0.0521668228990443,0.11556573685290675
2021,Democrat,334097,0.046567314282977695,0.09118010637629191,0.049701134700401384,0.06159887697285519,0.06698054756552738
2021,Republican,244912,0.030476252694845496,0.07417766381394134,0.23494153001894558,0.052243254720062714,0.2908554909518521
2022,Democrat,234466,0.055368368974606126,0.1016906502435321,0.05503996315030751,0.07204882584255287,0.07569114498477392
2022,Republican,179918,0.021582054046843564,0.06453495481274803,0.2534321190764682,0.037433719805689256,0.30507231071932767
2023,Democrat,139474,0.05414629249896038,0.10525259188092405,0.10356769003541878,0.07761303181955059,0.12858310509485638
2023,Republican,140557,0.027604459400812482,0.07931301891759215,0.20415916674374096,0.04724773579401951,0.2490235278214532
2024,Democrat,182925,0.056258029246959135,0.12567992346590132,0.09521935219352194,0.07670903375700423,0.12048653819871533
2024,Republican,189683,0.025948556275470127,0.08216339893401095,0.21431546316749525,0.044716711566139294,0.25486733128430067
2025,Democrat,187494,0.026822191643465925,0.06346869766499194,0.3457977321940969,0.049590920242781104,0.3799588253490778
2025,Republican,201451,0.0245220922209371,0.09413207181895349,0.12982809715513946,0.038182982462236476,0.1542509096504857
2026,Democrat,152076,0.02611851968752466,0.07398932112890923,0.28454851521607616,0.04987637760067335,0.3089179094663195
2026,Republican,189401,0.024704199027460256,0.10318319333055263,0.08182638951219899,0.038790713882186474,0.10067000702213821
