mo,n,civic,gratitude,polarizing,any_civic_lang,any_outgroup,event
2013-01-01,8089,0.020892570157003337,0.06712819878847819,0.02682655458029423,0.025713932500927184,0.0552602299418964,
2015-01-01,18240,0.02593201754385965,0.06661184210526316,0.03848684210526316,0.03344298245614035,0.06896929824561404,
2015-05-01,21054,0.0172888762230455,0.08706184098033627,0.015151515151515152,0.022561033532820365,0.029163104398214117,
2020-07-01,46543,0.031476269256386566,0.06398384289796533,0.11621511290634468,0.046279784285499434,0.1391186644608212,
2023-05-01,22770,0.03943785682916118,0.09749670619235837,0.1862977602108037,0.06082564778216952,0.22143170838823012,
2017-09-01,27529,0.02869701042536961,0.07090704348141959,0.07214210468960006,0.038686476079770424,0.09404627846997711,
2013-11-01,14935,0.01700703046534985,0.07278205557415467,0.07043856712420489,0.022966186809507867,0.12186139939738869,
2018-07-01,24291,0.033798526203120495,0.0759540570581697,0.15380181960396855,0.05236507348400642,0.18228973693960726,
2012-10-01,5059,0.005732358173552086,0.05040521842261316,0.03281280885550504,0.009685708638070766,0.05416090136390591,
2012-09-01,5894,0.01815405497115711,0.06158805564981337,0.04903291482863929,0.02494061757719715,0.07753647777400746,
2019-02-01,34478,0.04782760020882882,0.10116596090260456,0.10165902894599455,0.06755032194442834,0.13150414757236498,35-day shutdown ends; border deal
2023-06-01,23581,0.044654594800899026,0.09287137950044527,0.14999363894660955,0.06271998642975277,0.18396166405156694,
2020-11-01,35629,0.03609419293272334,0.08902860029751046,0.09514721154116029,0.047152600409778554,0.12282129725785175,
2015-12-01,9249,0.021515839550221644,0.055897934911882365,0.03297653800410855,0.02681370959022597,0.05114066385555195,
2015-11-01,10312,0.01900698215671063,0.08000387897595035,0.02608611326609775,0.025504266873545383,0.04014740108611327,
2011-06-01,5599,0.006965529558849794,0.03679228433648866,0.0412573673870334,0.008751562779067691,0.07126272548669406,
2017-12-01,18003,0.024718102538465812,0.06304504804754762,0.12264622562906183,0.03804921401988558,0.15003055046381158,
2019-11-01,43710,0.0383893845801876,0.10473575840768702,0.12404484099748342,0.06019217570350034,0.15493022191718142,
2021-06-01,47925,0.04143974960876369,0.08878455920709442,0.11947835159102765,0.061366718831507565,0.15444966092853415,
2026-08-01,24669,0.027281203129433704,0.10750334427824396,0.15736349264258787,0.04215817422676233,0.1822935668247598,
2019-07-01,35379,0.037084145962294014,0.09287995703666016,0.11455948443992199,0.05935724582379378,0.1392068741343735,
2022-08-01,24292,0.02935122674131401,0.08122015478346781,0.1832290465997036,0.04161863988144245,0.22229540589494484,CHIPS Act; PACT Act for veterans
2016-04-01,22660,0.01831421006178288,0.08168578993821712,0.019549867608120036,0.022639011473962932,0.03142100617828773,
2016-06-01,26118,0.015774561605023357,0.07351252010107971,0.03380810169231947,0.024044720116394823,0.04862546902519335,
2013-08-01,10999,0.011182834803163923,0.06636966996999727,0.050731884716792436,0.01572870260932812,0.08328029820892809,
2024-04-01,31932,0.03974069898534385,0.09689339847175248,0.14283477389452587,0.06159964925466616,0.17127019917324315,
2020-01-01,39335,0.03432057963645608,0.08069149612304563,0.1604677767891191,0.05770941909241134,0.19455955256133214,
2012-05-01,6304,0.012531725888324872,0.05314086294416244,0.04854060913705584,0.016973350253807105,0.07471446700507614,
2026-06-01,47924,0.027773140806276606,0.08907854102328687,0.1597320757866622,0.04830565061347133,0.18139136966864203,
2022-01-01,41081,0.04659088142937124,0.0804995009858572,0.14500620724909324,0.06287578199167498,0.18495168082568583,Jan 6 anniversary; Ukraine build-up
2022-12-01,22171,0.04018763249289613,0.09304947904920842,0.11212845609129042,0.05552298046998331,0.13855937936944657,
2016-05-01,22712,0.014749911940824234,0.09334272631208172,0.030028178936245157,0.019505107432194434,0.04372138076787601,
2017-01-01,21138,0.016274008893935092,0.06736682751442899,0.11022802535717664,0.022849843883054215,0.15138612924590783,Inauguration; travel ban
2023-11-01,31488,0.046271595528455285,0.10896214430894309,0.1288744918699187,0.06970909552845528,0.15748856707317074,
2023-12-01,29140,0.04203843514070007,0.09049416609471517,0.13366506520247082,0.06122168840082361,0.1632120796156486,
2025-06-01,33655,0.02632595453870153,0.07247065814886347,0.20320903283316,0.047808646560689345,0.22703907294607042,
2025-08-01,25415,0.021876844383238246,0.10509541609285855,0.20271493212669683,0.034664568168404485,0.22667715915797756,
2026-01-01,41100,0.02408759124087591,0.07669099756690997,0.18287104622871045,0.048418491484184915,0.20508515815085157,
2021-02-01,47698,0.03234936475323913,0.07344123443330958,0.1269235607362992,0.05159545473604763,0.1643045830013837,
2020-08-01,41267,0.02791576804710786,0.07005597693071947,0.12915889209295564,0.04102551675673056,0.1611457096469334,
2022-06-01,44445,0.04495443806952413,0.0797165035437057,0.14476319046011926,0.06032174597817527,0.18006524918438518,
2024-10-01,32926,0.033317135394521045,0.1212112008746887,0.13815829435704308,0.048836785519042705,0.16719309967806598,Hurricanes Helene & Milton
2017-04-01,18630,0.018518518518518517,0.07444981213097156,0.10268384326355341,0.02877079978529254,0.12936124530327428,
2017-07-01,24129,0.027021426499233288,0.05914045339632807,0.13307638111815656,0.037962617597082346,0.1712047743379336,
2018-12-01,18732,0.04046551355968396,0.07842195174033739,0.14136237454623105,0.06262011531069828,0.16704035874439463,
2023-10-01,32093,0.05100800797681737,0.08388122020378276,0.13551241703798336,0.09073629763499828,0.17355809678122955,Speaker Johnson elected; Israel resolutions
2011-10-01,5822,0.013397457918241155,0.04190999656475438,0.03589831672964617,0.0207832360013741,0.06046032291308828,
2021-10-01,50128,0.03355410150015959,0.08476300670284073,0.14054021704436642,0.04809687200766039,0.17030402170443665,
2021-09-01,50065,0.034215519824228505,0.0793168880455408,0.15320083890941777,0.0496754219514631,0.18525916308798562,
2022-02-01,42156,0.04839168801594079,0.0756950374798368,0.11986431350222981,0.07363127431445109,0.1482588480880539,Russia invades Ukraine — bipartisan support
2020-12-01,40801,0.05019484816548614,0.07141981814171221,0.09955638342197495,0.06970417391730595,0.13306046420430873,COVID relief deal after months of stalemate
2021-08-01,46796,0.03810154714078126,0.07881015471407812,0.1394777331395846,0.05231216343277203,0.1756133002820754,
2012-01-01,6002,0.013995334888370544,0.04465178273908697,0.046317894035321557,0.020993002332555816,0.08513828723758747,
2014-05-01,20369,0.015906524620747212,0.07447591928911582,0.027640041239137905,0.02106141685895233,0.045853993814129315,
2023-04-01,17384,0.03790842153704556,0.08168430740911183,0.1661872986654395,0.054302807179015186,0.2009894155545329,
2024-09-01,29222,0.04120183423448087,0.10225172815002395,0.1643282458421737,0.06063924440490042,0.19687221956060502,
2017-08-01,23646,0.019918802334432884,0.07739152499365644,0.07383912712509515,0.03197158081705151,0.09777552228706758,
2014-01-01,12875,0.018951456310679612,0.05941747572815534,0.046834951456310676,0.023067961165048542,0.08147572815533981,
2020-02-01,38209,0.036771441283467245,0.10316941034834724,0.13360726530398598,0.05540579444633463,0.16286738726478056,
2025-10-01,40572,0.01609484373459529,0.05567879325643301,0.37885734003746424,0.03642906437937494,0.42894114167406094,Government shutdown (Oct 1)
2014-07-01,17634,0.018827265509810592,0.04927980038561869,0.054100034025178635,0.026653056595213793,0.08075309062039242,
2015-04-01,21662,0.020773705105715076,0.07478533838057427,0.01583417966946727,0.025066937494229526,0.027744437263410582,
2022-07-01,41464,0.039335327030677214,0.0722313332047077,0.17465753424657535,0.05332336484661393,0.21348639783908932,
2014-02-01,15394,0.013446797453553332,0.06047810835390412,0.055865921787709494,0.017084578407171626,0.08373392230739249,
2022-05-01,42493,0.037959193278892994,0.09643941355046713,0.1352458051914433,0.05163203351140188,0.16943967241663332,
2015-08-01,16135,0.008800743724821815,0.06451812829253176,0.019522776572668113,0.012891230244809421,0.03817787418655098,
2018-01-01,22965,0.03988678423688221,0.07158719790986283,0.16033093838449816,0.06727629000653168,0.20108861310690182,
2018-08-01,20930,0.02818920210224558,0.09660774008600095,0.10668896321070234,0.04166268514094601,0.12919254658385093,
2020-03-01,53421,0.04355964882724023,0.0778719979034462,0.058104490743340634,0.05509069467063514,0.08356264390408266,
2021-04-01,49354,0.03480974186489444,0.07946670989180209,0.1068403776796207,0.05166754467722981,0.14511488430522348,
2011-11-01,5753,0.01929428124456805,0.05458021901616548,0.029549800104293412,0.02676864244741874,0.048670258995306796,
2012-06-01,7653,0.014634783744936626,0.047040376323010585,0.06337384032405592,0.021690840193388215,0.1153795897033843,
2023-08-01,22074,0.02962761620005436,0.10700371477756637,0.1292923801757724,0.04068134456827036,0.16104919815167165,
2023-09-01,27729,0.04295142269825814,0.09051895127844495,0.17122867755779148,0.0646615456742039,0.20779689134119514,
