name,party,state,n,share_angry,mean_anger
"Menendez, Bob",Democrat,NJ,17271,0.3149788663076834,0.3223363712614852
Andy Levin D-MI,Democrat,MI,5349,0.3129556926528323,0.32722180248939814
Chellie Pingree,Democrat,ME,2513,0.3127735773975328,0.32031854039867486
Mary Gay Scanlon,Democrat,PA,11937,0.31255759403535227,0.3225392993717691
Seth Magaziner,Democrat,RI,4420,0.31244343891402715,0.3155446915877814
Steve Daines,Republican,MT,5320,0.31221804511278195,0.3101704499064122
Melanie A. Stansbury,Democrat,NM,5214,0.31089374760260835,0.31280463678474024
Kathleen Rice D-NY,Democrat,NY,3089,0.3107801877630301,0.3187238047095109
Chuck Grassley,Republican,IA,7381,0.31066251185476224,0.321349559303791
Mitch McConnell,Republican,KY,9028,0.31058927780239254,0.3242734723832123
Donald Norcross,Democrat,NJ,2023,0.3094414236282748,0.31525202947486886
Jake Auchincloss,Democrat,MA,2896,0.3083563535911602,0.31816973652014024
Patrick Ryan,Democrat,NY,3923,0.3081825133826153,0.31095564523923086
Vern Buchanan,Republican,FL,2686,0.3078927773641102,0.3105186693852647
Mike Levin,Democrat,CA,8330,0.30756302521008405,0.3140688068699651
Pete Stauber,Republican,MN,6394,0.306850172036284,0.30811829738425833
"Steel, Michelle",Republican,CA,2734,0.3061448427212875,0.3070864810045582
Brendan F. Boyle,Democrat,PA,14515,0.3052704099207716,0.31489543235486056
Debbie Mucarsel-Powell D-FL,Democrat,FL,4640,0.30495689655172414,0.31639960018841645
Tom Price R-GA,Republican,GA,2691,0.30434782608695654,0.32351170761101655
Sean Casten,Democrat,IL,15578,0.3036333290537938,0.3142293453696204
Tim Kaine,Democrat,VA,10369,0.30108978686469284,0.30534393527386144
Karen Bass D-CA,Democrat,CA,6523,0.3010884562317952,0.3113886593192032
Don Bacon,Republican,NE,23831,0.29981956275439553,0.3104074899641387
Victoria Spartz,Republican,IN,2863,0.29933636046105483,0.29837891056927435
Betty McCollum,Democrat,MN,4320,0.2988425925925926,0.300403333028468
Mike Collins,Republican,GA,5608,0.2970756062767475,0.30822851574486826
Robert Menendez,Democrat,NJ,2882,0.2970159611380985,0.293407441651362
Cynthia M. Lummis,Republican,WY,7395,0.29601081812035157,0.3037919134157568
Amy Klobuchar,Democrat,MN,14557,0.2957340111286666,0.3030853055137572
Daniel Meuser,Republican,PA,4986,0.29562775772162053,0.3011577401517166
John James,Republican,MI,3397,0.29526052399175745,0.2984291444826473
Mark DeSaulnier,Democrat,CA,7432,0.29520990312163614,0.29918981651738946
Rudy Yakym III,Republican,IN,2633,0.29472085074060006,0.29127195694045566
"Casey, Robert Jr.",Democrat,PA,15154,0.29325590603141083,0.3059335127238879
Stephanie I. Bice,Republican,OK,4529,0.29277986310443804,0.29548766602922233
John Conyers D-MI,Democrat,MI,3107,0.29127775989700677,0.3124149747947929
Andy Harris,Republican,MD,5354,0.29099738513261114,0.30015984244694566
Emanuel Cleaver,Democrat,MO,14471,0.2904429548752678,0.297261333428963
Luis Gutierrez D-IL,Democrat,IL,5520,0.29039855072463766,0.30748617514559623
Michael Guest,Republican,MS,4331,0.2902332024936504,0.2882939541432426
John Joyce,Republican,PA,3022,0.2898742554599603,0.289077284359105
Kat Cammack,Republican,FL,6438,0.2895309102205654,0.2916784063498766
Morgan McGarvey,Democrat,KY,2539,0.2890901929893659,0.29250672475631817
Dennis Ross R-FL,Republican,FL,9874,0.2889406522179461,0.3088117779056371
Joe Wilson,Republican,SC,6518,0.2888922982509972,0.2901135059343262
Bill Cassidy,Republican,LA,13217,0.2878111523038511,0.30300083035871495
"Jesús G. ""Chuy"" García",Democrat,IL,11463,0.28779551600802583,0.2992922668513249
Robin L. Kelly,Democrat,IL,8992,0.28770017793594305,0.293680719756251
Nanette Diaz Barragán,Democrat,CA,8394,0.2873481057898499,0.29346262682492236
Linda T. Sánchez,Democrat,CA,2873,0.2861120779672816,0.29267798710304543
William R. Timmons IV,Republican,SC,3960,0.28585858585858587,0.29417530885242593
Marlin A. Stutzman,Republican,IN,2057,0.28585318424890616,0.2992244781023023
Pete Aguilar,Democrat,CA,3356,0.2836710369487485,0.2863701812089593
Mario Diaz-Balart,Republican,FL,4625,0.28281081081081083,0.2940792398097346
"Brown, Sherrod",Democrat,OH,9482,0.2824298671166421,0.29662457144254634
Jim Hagedorn R-MN,Republican,MN,2981,0.2814491781281449,0.28537236669384186
Elijah Cummings D-MD,Democrat,MD,4822,0.2814184985483202,0.3061094757460934
John H. Rutherford,Republican,FL,2815,0.28063943161634103,0.2780713200994286
Walter Jones R-NC,Republican,NC,2291,0.2802269751200349,0.28998812603195523
"Budd, Ted",Republican,NC,4266,0.2801218940459447,0.28649171529424217
Dianne Feinstein D-CA,Democrat,CA,10121,0.2793202252741824,0.29731627705168995
Donna Shalala D-FL,Democrat,FL,2793,0.27926960257787325,0.2958347367501567
Ben Ray Luján,Democrat,NM,10185,0.27903780068728523,0.28804322066522536
Diane Black R-TN,Republican,TN,5342,0.27873455634593786,0.28917375510145826
Carolyn Maloney D-NY,Democrat,NY,15472,0.2779214064115822,0.29878668019656046
Deborah K. Ross,Democrat,NC,5972,0.27712659075686535,0.283545361456378
Val T. Hoyle,Democrat,OR,2104,0.27566539923954375,0.2874467468002949
Barry Loudermilk,Republican,GA,3976,0.27540241448692154,0.284996718901886
Kevin Brady R-TX,Republican,TX,14235,0.27516684229012994,0.2922892316252884
Lois Frankel,Democrat,FL,11441,0.2735774844856219,0.2871425918144452
Andrea Salinas,Democrat,OR,3147,0.2726406101048618,0.2785795452553379
Steny H. Hoyer,Democrat,MD,11984,0.2720293724966622,0.2791324406997481
Sean Maloney D-NY,Democrat,NY,6953,0.2719689342729757,0.2871593205041192
Billy Long R-MO,Republican,MO,11651,0.2719079907304094,0.28959177408169795
Scott Franklin,Republican,FL,2678,0.27184466019417475,0.27233326283271014
Riley M. Moore,Republican,WV,2619,0.27033218785796104,0.277830800576649
"Earl L. ""Buddy"" Carter",Republican,GA,4540,0.27004405286343613,0.279937212161888
