name,party,state,n,share_angry,mean_anger
Donald McEachin D-VA,Democrat,VA,3391,0.17693895606015925,0.19821241406577744
"Cartwright, Matt",Democrat,PA,4174,0.17609008145663632,0.20211477861579044
Ed Perlmutter D-CO,Democrat,CO,7813,0.17598873672084986,0.1974112469371638
H. Morgan Griffith,Republican,VA,4073,0.17554628038301007,0.20418703911972128
Daniel Webster,Republican,FL,5670,0.17548500881834214,0.1907882373548824
Julia Brownley,Democrat,CA,5316,0.17513167795334839,0.20048348884793044
Dan Coats R-IN,Republican,IN,3715,0.17496635262449528,0.20379308663461543
Jon Ossoff,Democrat,GA,4454,0.1746744499326448,0.1993339456956362
Laurel M. Lee,Republican,FL,2218,0.1740306582506763,0.19117784724092973
"Stabenow, Debbie",Democrat,MI,7559,0.17383251752877366,0.1873213081066017
Mark Walker R-NC,Republican,NC,4396,0.1737943585077343,0.19539467999513546
David Rouzer,Republican,NC,3663,0.17362817362817362,0.19140728723655429
David Schweikert,Republican,AZ,7782,0.17360575687483937,0.196456058393059
Jackie Walorski R-IN,Republican,IN,5461,0.17359457974729903,0.1931621956178873
Adam Kinzinger R-IL,Republican,IL,8666,0.17262866374336489,0.1974626445628878
Robert E. Latta,Republican,OH,2967,0.1722278395685878,0.18465733872533516
Jennifer A. Kiggans,Republican,VA,3142,0.1718650541056652,0.18352589207230982
Richard Burr R-NC,Republican,NC,3197,0.17172349077259932,0.2044590419997462
David Perdue R-GA,Republican,GA,3633,0.17120836774015966,0.19236394155845138
Mike Bost,Republican,IL,4154,0.17116032739528167,0.18584476568864827
"Bucshon, Larry",Republican,IN,6832,0.17022833723653397,0.1922119671831726
David McKinley R-WV,Republican,WV,7934,0.16990168893370305,0.19782419253555875
Richard E. Neal,Democrat,MA,5450,0.1689908256880734,0.19232936825334104
Darin LaHood,Republican,IL,4520,0.16880530973451327,0.1794477599607039
Jerry McNerney D-CA,Democrat,CA,2307,0.1681837884698743,0.1900099606384811
Michelle Grisham D-NM,Democrat,NM,4378,0.1667428049337597,0.1877918851347202
Cory Gardner R-CO,Republican,CO,3442,0.1653108657757118,0.18398059630779498
Tom Rice R-SC,Republican,SC,2337,0.16516902011125376,0.18593678385964574
John Ratcliffe R-TX,Republican,TX,2506,0.164804469273743,0.1956040011778331
Scott H. Peters,Democrat,CA,15393,0.16462028194633924,0.18881814185390972
Rob Portman R-OH,Republican,OH,19132,0.1644888145515367,0.18944183908396203
J. French Hill,Republican,AR,5500,0.16327272727272726,0.18136893272006208
Haley M. Stevens,Democrat,MI,7991,0.16268301839569516,0.18477029599514622
Rick Nolan D-MN,Democrat,MN,2771,0.16203536629375676,0.1849516985917115
Stephen Fincher R-TN,Republican,TN,2714,0.16101694915254236,0.19103598058966312
Gary C. Peters,Democrat,MI,12175,0.1609034907597536,0.1814728458085168
"Trone, David",Democrat,MD,5370,0.16089385474860335,0.18268992611488025
Robert J. Wittman,Republican,VA,3208,0.16022443890274315,0.18008240054075855
Vicente Gonzalez,Democrat,TX,4633,0.15842866393265703,0.1799170163730648
Todd Young,Republican,IN,13041,0.15673644659151906,0.1787050625315204
"Wild, Susan",Democrat,PA,4795,0.1559958289885297,0.1775749317369384
"Spanberger, Abigail",Democrat,VA,7003,0.15579037555333428,0.18151512292339944
Andy Kim,Democrat,NJ,6696,0.15576463560334528,0.17900479849001777
Pat Meehan R-PA,Republican,PA,2836,0.15514809590973203,0.1845929785826991
Dusty Johnson,Republican,SD,4227,0.1547196593328602,0.18185158280745195
Joe Courtney,Democrat,CT,10610,0.15428840716305373,0.1741062996049458
Ed Royce R-CA,Republican,CA,2727,0.15364869820315366,0.1926194813116486
Joe Neguse,Democrat,CO,9214,0.153353592359453,0.17868156188674228
Emilia Strong Sykes,Democrat,OH,2796,0.1527181688125894,0.1753510919839906
Lucille Roybal-Allard D-CA,Democrat,CA,9022,0.15262691199290623,0.18022701429992125
Glenn Grothman,Republican,WI,4392,0.15163934426229508,0.16510407837310923
Martha Roby R-AL,Republican,AL,6467,0.15153858048554197,0.1766406633290349
Denver Riggleman R-VA,Republican,VA,2248,0.1512455516014235,0.17376310885641508
Chris Collins R-NY,Republican,NY,2971,0.15112756647593403,0.17643191624220897
Denny Heck D-WA,Democrat,WA,4140,0.1495169082125604,0.17806744547229
Randy Hultgren R-IL,Republican,IL,3144,0.14917302798982188,0.1776701892469447
Tom Malinowski D-NJ,Democrat,NJ,2557,0.1490027375831052,0.17663763077409866
Bradley Byrne R-AL,Republican,AL,11762,0.14852916170719266,0.1717806351361014
Cedric Richmond D-LA,Democrat,LA,2694,0.14847809948032664,0.177880467861077
"Scott, David",Democrat,GA,3933,0.14797864225781845,0.17836451790068927
Jimmy Panetta,Democrat,CA,9643,0.14787929067717515,0.17405641210727787
Cheri Bustos D-IL,Democrat,IL,6778,0.14724107406314546,0.1631669013136965
John Kline R-MN,Republican,MN,2455,0.1470468431771894,0.1789922576704937
Barbara Mikulski D-MD,Democrat,MD,3255,0.14654377880184333,0.1728650115871696
Bob Corker R-TN,Republican,TN,3948,0.1461499493414387,0.1981160731729273
Tom Graves R-GA,Republican,GA,4440,0.14504504504504503,0.17492902884983483
Lizzie Fletcher,Democrat,TX,6705,0.14347501864280388,0.16474133854597184
Pete Olson R-TX,Republican,TX,8009,0.14171556998376825,0.15879807255572373
"Wenstrup, Brad",Republican,OH,6824,0.14155920281359907,0.166052035056737
Jose Serrano D-NY,Democrat,NY,4267,0.1410827279118819,0.16086804774760735
Rob Goodlatte R-VA,Republican,VA,3950,0.14101265822784811,0.17565004755265398
Filemon Vela D-TX,Democrat,TX,2170,0.1400921658986175,0.162058975947656
Rick Larsen,Democrat,WA,16516,0.14004601598449987,0.1699055262920257
Mike Thompson,Democrat,CA,17867,0.13953097889964738,0.17703332669069755
Deb Fischer,Republican,NE,9609,0.1390363201165574,0.1600600771493006
Chrissy Houlahan,Democrat,PA,6875,0.13847272727272728,0.1629314089192247
Adrian Smith,Republican,NE,5690,0.13778558875219685,0.1614687341172903
"Tester, Jon",Democrat,MT,6958,0.1375395228513941,0.16229229211116858
Tom Reed R-NY,Republican,NY,3061,0.13655668082326036,0.16269122827708374
Lauren Underwood,Democrat,IL,5230,0.1349904397705545,0.1620187696249778
T.J. Cox D-CA,Democrat,CA,2286,0.1347331583552056,0.15886475809414694
Sean Duffy R-WI,Republican,WI,6323,0.13442985924402973,0.1638615229725278
Kim Schrier,Democrat,WA,4652,0.13413585554600171,0.1551589183303646
Stephanie Murphy D-FL,Democrat,FL,4102,0.13164310092637738,0.16335349619645817
"Kuster, Ann",Democrat,NH,7359,0.13153961136023917,0.15741750133194218
E.B. Johnson D-TX,Democrat,TX,9026,0.13139818302681144,0.16029330042544043
Elizabeth Esty D-CT,Democrat,CT,4497,0.13097620635979543,0.15827223681570365
Tim Murphy R-PA,Republican,PA,2887,0.13023900242466227,0.1650013451248015
Luke Messer R-IN,Republican,IN,2033,0.1293654697491392,0.1583564283928215
Cindy Axne D-IA,Democrat,IA,3643,0.12928904748833378,0.1568067416860235
John Shimkus R-IL,Republican,IL,7967,0.12865570478222668,0.16442910202529767
John Boozman,Republican,AR,5066,0.12554283458349783,0.14211261021905383
Dan Lipinski D-IL,Democrat,IL,3644,0.12349066959385291,0.1490610248187371
David P. Joyce,Republican,OH,6830,0.12313323572474377,0.1438698865924955
Mike Coffman R-CO,Republican,CO,2638,0.12282031842304776,0.15428202057615983
Ron Kind D-WI,Democrat,WI,2400,0.1225,0.14950903428524423
Lamar Alexander R-TN,Republican,TN,7819,0.12188259368205653,0.16296397878296845
Frank D. Lucas,Republican,OK,3296,0.12135922330097088,0.14639334759767647
Pat Roberts R-KS,Republican,KS,6271,0.12135225641843406,0.14871720258283008
Juan Ciscomani,Republican,AZ,2970,0.12121212121212122,0.1372769722730699
Richard Shelby R-AL,Republican,AL,2875,0.12069565217391304,0.14209100219736928
Scott Rigell R-VA,Republican,VA,3435,0.11935953420669577,0.15414298599981738
Scott Tipton R-CO,Republican,CO,3412,0.11899179366940212,0.14830920967062694
Shelley Moore Capito,Republican,WV,16599,0.11832038074582807,0.1372811494532347
Jerry Moran,Republican,KS,3255,0.11827956989247312,0.14148517182767792
"Curtis, John ",Republican,UT,4763,0.11820281335292883,0.14679659955178506
"Angus S. King, Jr.",Independent,ME,6718,0.11729681452813337,0.14589120632534652
"Allred, Colin",Democrat,TX,4867,0.11690980069858228,0.1446781385545884
Carolyn Bourdeaux D-GA,Democrat,GA,2117,0.11667453944260746,0.14312622303406658
Raul Ruiz,Democrat,CA,5439,0.1165655451369737,0.14343820783472477
David G. Valadao,Republican,CA,3442,0.11621150493898896,0.13964544103671903
Brian K. Fitzpatrick,Republican,PA,7558,0.1152421275469701,0.13727540248823453
Don Young R-AK,Republican,AK,3507,0.11405759908753921,0.14074340436898655
Anthony Brindisi D-NY,Democrat,NY,2359,0.11403136922424756,0.1362406686793234
Lynn Jenkins R-KS,Republican,KS,4769,0.11386034808135878,0.14371899835621632
Steve Womack,Republican,AR,12474,0.11311527978194645,0.1346084561708848
Sharice Davids,Democrat,KS,7372,0.11285946825827456,0.13847201921474553
Frank LoBiondo R-NJ,Republican,NJ,3827,0.11157564672066893,0.14627324375321518
Steve Pearce R-NM,Republican,NM,4072,0.1112475442043222,0.1397149812129156
"Graves, Garret",Republican,LA,4232,0.11082230623818526,0.14995665248798776
Lucy McBath,Democrat,GA,3486,0.11044176706827309,0.13448928656451653
Jim Costa,Democrat,CA,6603,0.11040436165379373,0.1368892767172384
"Granger, Kay",Republican,TX,4037,0.11023036908595492,0.1292934653583147
Elaine Luria D-VA,Democrat,VA,4278,0.10822814399251987,0.1344245649465369
Blake D. Moore,Republican,UT,2530,0.10790513833992095,0.13247638571668754
"Sherrill, Mikie",Democrat,NJ,5156,0.1078355314197052,0.13128097554626517
Kurt Schrader D-OR,Democrat,OR,3440,0.1058139534883721,0.13628423795284064
Mike Rounds,Republican,SD,6180,0.10501618122977346,0.13127054172518293
Bruce Westerman,Republican,AR,5590,0.10250447227191413,0.13203500895477724
Carlos Curbelo R-FL,Republican,FL,3570,0.10224089635854341,0.13402655686405734
Steve Chabot R-OH,Republican,OH,4766,0.09567771716323961,0.12483173810462246
Jahana Hayes,Democrat,CT,9143,0.09537350978890954,0.12941502868324167
John Katko R-NY,Republican,NY,2080,0.09423076923076923,0.13217913538201873
Lisa Murkowski,Republican,AK,4499,0.09202044898866414,0.11827945454382723
Susan M. Collins,Republican,ME,5595,0.08972296693476318,0.12361344691445857
Erik Paulsen R-MN,Republican,MN,3150,0.0892063492063492,0.12640453867540355
Harold Rogers,Republican,KY,3902,0.0884161968221425,0.13006696827088635
Mike Bishop R-MI,Republican,MI,2166,0.08679593721144968,0.12247343884773694
Greg Walden R-OR,Republican,OR,3047,0.0863144076140466,0.12277085231913576
"Thomas H. Kean, Jr.",Republican,NJ,2173,0.08605614358030372,0.10851128447952595
Dean Heller R-NV,Republican,NV,5454,0.08434176751008435,0.11404665857642277
Mimi Walters R-CA,Republican,CA,2305,0.0841648590021692,0.11263656753646674
Lois Capps D-CA,Democrat,CA,2376,0.08375420875420875,0.11363713075169707
Tom O'Halleran D-AZ,Democrat,AZ,5478,0.08305951077035414,0.11632296693531369
Mark Sanford R-SC,Republican,SC,2407,0.08226007478188617,0.13016475905715727
Richard Hanna R-NY,Republican,NY,2615,0.08221797323135756,0.12411305710270887
Martha McSally R-AZ,Republican,AZ,5322,0.08173618940248027,0.11363180682002905
Heidi Heitkamp D-ND,Democrat,ND,8455,0.0814902424600828,0.117870429902305
Jim Renacci R-OH,Republican,OH,2883,0.08047173083593478,0.11542221425508836
Mike Fitzpatrick R-PA,Republican,PA,4557,0.07965766951942067,0.11786079644611801
Beto O'Rourke D-TX,Democrat,TX,3150,0.07873015873015873,0.11986226226617065
Ed Case,Democrat,HI,4023,0.07805120556798409,0.10549111891795564
John Delaney D-MD,Democrat,MD,4276,0.07764265668849392,0.1168929098719135
Rod Blum R-IA,Republican,IA,2551,0.07761662093296746,0.10000055045055928
"Manchin, Joe",Democrat,WV,9946,0.07641262819223808,0.10729251200627354
Fred Upton R-MI,Republican,MI,7635,0.07570399476096921,0.10973386084639541
Robert Dold R-IL,Republican,IL,2177,0.07533302710151585,0.10855752345934754
Jeff Denham R-CA,Republican,CA,2851,0.07506138197123816,0.1129607289275909
"Kilmer, Derek",Democrat,WA,7545,0.07448641484426773,0.10167738073968345
Tom MacArthur R-NJ,Republican,NJ,2101,0.07139457401237506,0.09923976996298729
Henry Cuellar,Democrat,TX,9827,0.06970591228248703,0.10105310648127593
John Hoeven,Republican,ND,6372,0.06450094161958568,0.09033646958070993
Steve Stivers R-OH,Republican,OH,3795,0.06271409749670619,0.0941696058836065
Kevin Yoder R-KS,Republican,KS,7151,0.06166969654593763,0.09425309222791833
Trent Kelly,Republican,MS,2258,0.060673162090345435,0.08272753645341342
Johnny Isakson R-GA,Republican,GA,4725,0.06010582010582011,0.08691440433835385
"Sinema, Kyrsten",Democrat,AZ,9706,0.058108386565011334,0.08741754796323338
David Young R-IA,Republican,IA,4090,0.05672371638141809,0.0878217180425752
Barbara Comstock R-VA,Republican,VA,2211,0.05201266395296246,0.0878062311748202
Tom Emmer R-MN,Republican,MN,4128,0.05135658914728682,0.07341037575961379
Joe Donnelly D-IN,Democrat,IN,5370,0.044878957169459964,0.07956841693179997
Robert Hurt R-VA,Republican,VA,2106,0.04415954415954416,0.08386317390996294
Antonio Delgado D-NY,Democrat,NY,4007,0.04392313451459945,0.07492432288480595
Donald G. Davis,Democrat,NC,3225,0.030387596899224805,0.05717704366979211
