year,season,n,anger,share_angry,negative,disgust,joy,optimism,fear,sadness,anger_se,anger_dev
2011,Fall,18191,0.18485186283430982,0.15089879610796547,0.12959642647445405,0.1951694367731455,0.45203585008574587,0.4654271487603241,0.08449103151975962,0.1127880847499667,0.002050738165308631,-0.014557131347767649
2011,Spring,17856,0.20196178260457634,0.16929883512544802,0.13137550052397598,0.21197486505661148,0.42611235997792,0.43005946858945754,0.08882497322279491,0.10799245640824717,0.0021760256660574725,0.0025527884224988695
2011,Summer,17890,0.20565612810989764,0.16998323085522637,0.1498653709469454,0.22057856243728963,0.40602059972203347,0.43232004984603156,0.09387665668186457,0.12285831447809419,0.0021622705678799696,0.00624713392782017
2011,Winter,12205,0.20821398888149562,0.17369930356411306,0.1397572289066611,0.21599639030135268,0.4253129525074643,0.4362352661207007,0.09053526497005329,0.1135275445002887,0.0026270498500249877,0.008804994699418145
2012,Fall,16307,0.16086710068214352,0.1281658183602134,0.12423818799164091,0.17455763889413492,0.488662796618058,0.4817844066566023,0.10221662718102842,0.12601127188770175,0.0020494377339895934,-0.033909571169636527
2012,Spring,19496,0.19345934525916608,0.16208453016003282,0.1313551877076428,0.20119616304272783,0.4779874270584322,0.47306330265259183,0.092061850124946,0.10599004468651967,0.0020633142090482888,-0.0013173265926139655
2012,Summer,20942,0.21008649327607315,0.17925699551141247,0.1443495735004384,0.21770579620567676,0.46321299052258263,0.46137370515529186,0.09672146167997198,0.1180729007066202,0.0020651864118874596,0.015309821424293102
2012,Winter,18051,0.2090710431356601,0.18264916071131793,0.15168083678089772,0.21612429709328676,0.4472905809773051,0.4453137351323578,0.08942666368967989,0.12707788328203215,0.002217368466896764,0.014294371283880059
2013,Fall,48770,0.25090045132203553,0.22925979085503384,0.1703268128398217,0.2588830440741904,0.42529953927692904,0.4512461990170828,0.11168003221508783,0.1472095713768993,0.0014898709324377675,0.04386301326342146
2013,Spring,46791,0.186204045497222,0.15778675386292235,0.12685611608776892,0.19480533129373898,0.49053313872401716,0.4801014366833502,0.10252968688384423,0.11045423680110919,0.0013159798654560283,-0.020833392561392078
2013,Summer,44626,0.19858183916940528,0.16974409537041188,0.13349739480068562,0.20404831109627453,0.48704754116034576,0.4892445346460015,0.0974976026152463,0.10738948721581854,0.0013886595443846617,-0.008455598889208799
