year,party,n,anger,share_angry,negative,disgust,joy,optimism,fear,sadness,anger_se
2011,Democrat,24967,0.2068257050811943,0.18111907718188008,0.14234408604091,0.21349683383003143,0.4513673944276578,0.46764651438214694,0.09815385584458103,0.11542018056167995,0.0019075819306138215
2011,Republican,38616,0.19301139134984469,0.15421068986948416,0.13430163190401848,0.2054989004785567,0.4221356803972734,0.43217675016111723,0.08375072475917415,0.10984418555012354,0.0014086280193125415
2012,Democrat,33156,0.17341047356512376,0.1438955241886838,0.11897168459207022,0.17427886662989756,0.5180235832443754,0.5191280273404268,0.09218043592043722,0.10558666519714288,0.0015294481079382927
2012,Republican,38563,0.20784479103408218,0.17851308248839562,0.15377828689234854,0.22170128395596747,0.44181599789982295,0.43095241425022973,0.09825833455832585,0.12639255062196247,0.0015036464997218613
2013,Democrat,82584,0.17831723207176306,0.14948416158093578,0.12166408423864485,0.17983240639803816,0.5201942089212822,0.530723995894031,0.09709201841660194,0.1136867353109796,0.0009847663236170815
2013,Republican,86313,0.23132163086690619,0.20546151796369028,0.15759662711043881,0.24334933622996527,0.4339046167890673,0.4321005627742361,0.10880592305765378,0.12570619213863227,0.0010646368567756258
2014,Democrat,103738,0.14485517889014585,0.11267809288785209,0.11043245566524339,0.14789618526125978,0.5488128094441971,0.5597727881419554,0.09503027886239818,0.11006144750436696,0.0007821410471588367
2014,Republican,82482,0.19358004114675506,0.16802453868722872,0.13635871105148326,0.20249657430251797,0.48836168278194686,0.4710693516390225,0.11648647423645621,0.10985559888013753,0.0010175665015739208
2015,Democrat,100073,0.16131058440466708,0.13303288599322494,0.12335645926511157,0.16093369470956514,0.5444288854506947,0.5724982331309724,0.10983397930880817,0.10916138497067206,0.0008567905350587447
2015,Republican,96534,0.170791547111389,0.14289265958108024,0.11728469652968478,0.17168225838203946,0.52900989099824,0.5096222459231845,0.10848924377001186,0.09156569038147362,0.000888312407905417
2016,Democrat,110779,0.19876164076688993,0.17589073741413083,0.15025529974632928,0.19516715418048453,0.5074760437058613,0.5493158470391344,0.13966277454098316,0.12579813409897367,0.0009168875446830671
2016,Republican,101984,0.15753698119994708,0.1310891904612488,0.11773521358845515,0.1617517194449888,0.5400242527860047,0.5232708992138074,0.1212363406749953,0.10657963072514542,0.0008395109577114896
2017,Democrat,172152,0.3763148247970107,0.37472698545471445,0.28988797501614133,0.3690050399394794,0.3417358886180478,0.4258629427167821,0.1674621078110502,0.17129001189468976,0.0009309971618908964
2017,Republican,103058,0.13615860687901837,0.1033301635971977,0.09241287108679763,0.1344925385094195,0.574972941991951,0.583374741043648,0.0999283505983473,0.09180688138891481,0.0007539112001371411
2018,Democrat,158944,0.37543944025498793,0.37612618280652305,0.2993377892863435,0.3620617409354744,0.37107715532691865,0.48498051065177095,0.1977436918794803,0.17907800856252806,0.0009802615625089175
2018,Republican,104685,0.14782622113626878,0.12062855232363758,0.10041377630605794,0.14331738493556656,0.5937863247825302,0.6254270443122053,0.11191328543126647,0.10154447034953268,0.0008080226727395002
2019,Democrat,291480,0.33111435835686753,0.3259434609578702,0.25590642532911656,0.31516867553397254,0.41464899282696266,0.5349637655702816,0.19133430405269436,0.16447656493195548,0.0006995264231576582
2019,Republican,148280,0.25870369052362313,0.2459266253034799,0.18746348281838374,0.24629907882821062,0.4980882066806902,0.5510832924358868,0.13360262851492774,0.11599236924102578,0.0009069215369889629
2020,Democrat,345529,0.296306003906712,0.2825985662563779,0.258234911977988,0.29319926823411463,0.3593496802282654,0.5185910867754148,0.21813399836159666,0.18005233460796255,0.0006155020330976649
2020,Republican,180287,0.26667689552622653,0.2521756976376555,0.20681738242552522,0.25764420377101627,0.43988825407711596,0.5407813103168266,0.16863737520084837,0.12771324566126904,0.0008312535264304709
2021,Democrat,334097,0.22112711270132807,0.20045974672026387,0.18260933950978883,0.2082835785924977,0.4819642682839013,0.6298462680512068,0.1744983495256384,0.13971612504850928,0.0005552231097359522
2021,Republican,244912,0.4090710980392393,0.41777863069184035,0.3387081059308625,0.4061515681818045,0.33542105596788807,0.4126804131908553,0.20141407813269416,0.1856768006525684,0.000794635647392668
2022,Democrat,234466,0.248736948528623,0.2322426279289961,0.19125814966519908,0.22986303276405776,0.4833898278756152,0.6270654863926529,0.18134505319562677,0.13119083296407508,0.0006956914147571062
2022,Republican,179918,0.432257503832157,0.4455085094320746,0.36278697879569605,0.4272216642873453,0.3218900529585855,0.40355914429059464,0.21039566504667337,0.19600255837709965,0.0009277419155424192
2023,Democrat,139474,0.2854741394286561,0.2762235255316403,0.2333366273931021,0.2675982001454453,0.4667195382161722,0.5972750173401419,0.18194918085745238,0.147080586840581,0.0009655981514166941
2023,Republican,140557,0.4088197179645532,0.4185277147349474,0.32544623235962117,0.3964046676024774,0.3574047580460583,0.4407716902986513,0.20383295658751585,0.16011525564719983,0.001052620982457846
2024,Democrat,182925,0.24976552154117113,0.2390105234385677,0.19572979624345252,0.231290336210997,0.5211933368265345,0.6333577572039188,0.16410778451414118,0.12637781353141958,0.0008091418735661334
2024,Republican,189683,0.4116583591326926,0.42448717070058994,0.3321136282502086,0.39976599354356757,0.37045165096006255,0.4386037235037432,0.2056928987574272,0.16533354688930169,0.0009181799694206978
2025,Democrat,187494,0.5111744372449022,0.5316703467844305,0.4054644187588711,0.4962220274431414,0.2903253794901764,0.38801681707035834,0.22187013061852232,0.22103414900760565,0.0009477502676988317
2025,Republican,201451,0.36492202203544294,0.3634829313331778,0.2575722207748426,0.3404002429494776,0.4314439069244801,0.5040780707655482,0.15382742326955698,0.13617791704283574,0.0008684394949748011
2026,Democrat,152076,0.47622689583338323,0.4915963071096031,0.3798082685574026,0.46221667895480945,0.31890880468320226,0.40041725726678035,0.21731949553388757,0.1936942011032333,0.0010612318663030165
2026,Republican,189401,0.3262161131246725,0.3183351724647705,0.2343054775002642,0.30822621457865673,0.4337970012868673,0.49463229646415413,0.13992295264821392,0.12078065793248804,0.0008640295666213659
