year,dow_et,n,anger,share_angry,negative,disgust,joy,optimism,fear,sadness,anger_se,anger_dev
2011,0,2048,0.1868725861800158,0.150390625,0.15570885230545173,0.20192342823384024,0.47025505830742986,0.4681909282094239,0.08512943536868534,0.15344472796255104,0.006199547332678259,-0.012536408002061683
2011,1,9466,0.18168757479521175,0.14504542573420665,0.1315331535470052,0.19573257618038484,0.4416369826774389,0.4508327810957492,0.096492483106136,0.11637166991643726,0.002819885491924085,-0.017721419386865722
2011,2,12931,0.20207629402604335,0.16843244915319774,0.13649303038113741,0.2125462242715074,0.42227935274447054,0.43932887435569584,0.0877865327074323,0.1090760087350882,0.0025302941258949488,0.0026672998439658813
2011,3,14338,0.212700308788934,0.17868600920630492,0.1399598715248917,0.2238794058142821,0.40741775021027665,0.43370565097838276,0.0932521131793176,0.11386846656913543,0.0024540925179604295,0.013291314606856536
2011,4,13959,0.20735708801767352,0.1745827064976001,0.1366719352988038,0.21449161494045743,0.42041238253645014,0.44466320631415257,0.08901846247518828,0.10380295441973053,0.0024692754974608927,0.007948093835596054
2011,5,11076,0.19149328543522146,0.15772842181292884,0.1357307717016669,0.20423642328734998,0.4379432845963555,0.4326904847053895,0.08325614574705524,0.12011249125000115,0.002674666474027902,-0.007915708746856015
2011,6,2324,0.1757819479763774,0.13941480206540446,0.14771077857831078,0.18793626048677503,0.48254528603650365,0.4641907567117466,0.07863950229435437,0.13997070189475655,0.005688576490197006,-0.02362704620570008
2012,0,2477,0.1490970995451249,0.11990310859911182,0.1147251759927331,0.15800541229030968,0.5560084123835178,0.5026215156545915,0.0750978100167149,0.12586001795312396,0.005159846685810273,-0.04567957230665515
2012,1,11075,0.1728401856449628,0.1400451467268623,0.12150917091761647,0.18426657884631886,0.48562876904398017,0.47362310503641014,0.09347853581824721,0.11485602486655788,0.0025894968035996167,-0.021936486206817235
2012,2,14783,0.1895466460556724,0.15463708313603464,0.1342815428266397,0.20039861431551478,0.4560011997629948,0.4615873243570716,0.09771412357122591,0.11939672385117826,0.0023054994218705957,-0.005230025796107651
2012,3,15713,0.2182286316910028,0.1893336727550436,0.15129391607977993,0.22386252501978166,0.4424853496229071,0.45841081068107914,0.10272299479307025,0.1153980139263917,0.002421581132044324,0.02345195983922274
