mo,distance,biggest_gap,gap_sign,gap_anger,gap_disgust,gap_fear,gap_sadness,gap_joy,gap_optimism,gap_love,gap_trust,gap_anticipation,gap_pessimism,gap_surprise
2011-03-01,0.08282798343302362,optimism,Democrats higher,0.018125904017953776,0.01228656970008421,0.019127125792645056,0.013049804118022479,0.03935424536969556,0.047159237928275644,0.012022966509646738,0.004870986776802214,-0.04280696503139575,0.004361837650697323,-0.007234075625520253
2011-04-01,0.14888668582597872,anger,Democrats higher,0.08597120910651856,0.08388558087141593,0.02182473466512863,0.037447101067347346,-0.035435530755877076,-0.02438794873777894,-0.008085407712128623,-0.011300605134863279,-0.05858646664809336,0.01727811877130167,-0.009293410615303865
2011-05-01,0.09747904102486911,anger,Democrats higher,0.05610818428573347,0.0481178713703892,0.011659552196189762,0.009185007520298272,0.021577980027517818,0.024366772956039784,0.008715846463988028,-0.0020835243364203254,-0.051102140064870794,0.0034433546221970535,-0.007446792573857525
2011-06-01,0.05985332081424626,optimism,Democrats higher,0.017170445383614175,0.003309372647692571,0.0029687412425191545,-0.010562174908150632,0.0308101462233199,0.0420966942965752,0.0022322940731291097,0.009742521401676293,-0.01670324607146323,-0.006510489247969473,-0.003686375792051666
2011-07-01,0.06956056303959013,joy,Democrats higher,0.008538970719655425,0.0012769126410447917,0.014609233648412878,0.002365715499442561,0.046159849772320016,0.025885419877689886,0.011310303361340875,0.0011902650298423884,-0.03984011142642635,-0.001255022012567622,-0.005115187287499892
2011-09-01,0.14315911387775804,joy,Democrats higher,-0.05105407117579633,-0.06035794054238261,-0.004809806992422977,-0.02432743471930829,0.08252536521929316,0.07975568652274628,0.006496412197750545,0.014865520210208871,-0.005181910260045608,-0.01134659137306896,-0.006307500551818154
2011-10-01,0.10108911128176522,optimism,Democrats higher,-0.02613160158211117,-0.03131607455025384,0.005334209096180445,-0.0008764112956559655,0.05566639751947189,0.061560953943710306,0.01933364386874227,0.009266015729984686,-0.03304233310537652,-0.0019349423024318455,-0.009085259217290698
2011-11-01,0.05667672631902879,optimism,Democrats higher,0.0036540414119518028,-3.5925219975418976e-05,0.01653848900161159,0.009257530513229903,0.016122126660372493,0.038259005507914834,0.0027663300267071617,0.0026991560822787614,-0.030119672413039145,0.006709088238898361,-0.012200634416847406
2011-12-01,0.10958711656486801,anticipation,Republicans higher,0.04360826600655007,0.04356457093657312,0.015722058356103644,0.03611794871048843,0.012673624634029879,0.015584656232199956,0.00449680883203539,-0.008164894381416252,-0.07592907803671933,0.014250850624620351,-0.014120672002666104
2012-01-01,0.22878641525184384,optimism,Democrats higher,-0.06967893488308505,-0.0877493558599336,-0.00413009464677809,-0.03192330205394754,0.1326659959260289,0.13519213477004383,0.036562046814560586,0.02905578127981076,-0.01849935988164031,-0.016895175614729946,-0.008129621198776846
