name,party,era,band,n,share_angry
"Santos, George",Republican,Biden,09-17 work,358,0.4441340782122905
Wesley Hunt,Republican,Trump II,09-17 work,710,0.44366197183098594
"Swalwell, Eric",Democrat,Biden,09-17 work,2600,0.44346153846153846
"Banks, Jim",Republican,Trump,21-23 late,212,0.44339622641509435
Mark DeSaulnier,Democrat,Trump II,09-17 work,894,0.4429530201342282
Thomas Massie,Republican,Biden,05-08 morning,2595,0.44277456647398844
Nikema Williams,Democrat,Trump II,09-17 work,899,0.44271412680756395
Adam Smith,Democrat,Trump II,05-08 morning,450,0.44222222222222224
Thomas Massie,Republican,Trump II,00-04 night,545,0.44220183486238535
Eleanor Holmes Norton,Democrat,Trump II,09-17 work,319,0.44200626959247646
Josh Hawley,Republican,Trump,09-17 work,2600,0.4419230769230769
Tim Kaine,Democrat,Trump,05-08 morning,879,0.44141069397042093
Joe Kennedy D-MA,Democrat,Trump,09-17 work,2234,0.44136078782453
Ro Khanna,Democrat,Trump II,09-17 work,2214,0.44128274616079494
Diana Harshbarger,Republican,Trump II,09-17 work,553,0.4412296564195298
Glenn Ivey,Democrat,Trump II,05-08 morning,331,0.44108761329305135
Pramila Jayapal,Democrat,Trump,05-08 morning,3435,0.4410480349344978
Tom Cotton,Republican,Trump,18-20 evening,254,0.4409448818897638
Jackie Speier D-CA,Democrat,Biden,09-17 work,948,0.4409282700421941
Tim Kaine,Democrat,Trump,09-17 work,1591,0.4406033940917662
Richard J. Durbin,Democrat,Trump,09-17 work,9583,0.4405718459772514
Steve Daines,Republican,Biden,05-08 morning,688,0.44040697674418605
Carol Shea-Porter D-NH,Democrat,Trump,09-17 work,243,0.4403292181069959
Rand Paul,Republican,Biden,00-04 night,359,0.4401114206128134
Jim Hagedorn R-MN,Republican,Biden,09-17 work,1380,0.4398550724637681
Zoe Lofgren,Democrat,Trump,05-08 morning,357,0.43977591036414565
Seth Moulton,Democrat,Trump,09-17 work,580,0.4396551724137931
Rand Paul,Republican,Biden,09-17 work,2946,0.43957909029192127
Steve Cohen,Democrat,Biden,21-23 late,273,0.43956043956043955
Rick Scott,Republican,Trump,05-08 morning,954,0.4392033542976939
"Green, Mark",Republican,Trump,09-17 work,2307,0.4390983961855223
Elise M. Stefanik,Republican,Trump II,09-17 work,1492,0.4383378016085791
Joaquin Castro,Democrat,Biden,09-17 work,1306,0.43797856049004597
Mo Brooks R-AL,Republican,Trump,05-08 morning,411,0.43795620437956206
Scott H. Peters,Democrat,Trump II,09-17 work,555,0.43783783783783786
Bobby Rush D-IL,Democrat,Trump,09-17 work,3314,0.4375377187688594
Chrissy Houlahan,Democrat,Trump II,05-08 morning,352,0.4375
Mike Rogers,Republican,Biden,09-17 work,1943,0.4369531652084406
Jackie Speier D-CA,Democrat,Biden,05-08 morning,261,0.4367816091954023
Dan Crenshaw,Republican,Trump II,05-08 morning,600,0.43666666666666665
Gary C. Peters,Democrat,Trump II,09-17 work,497,0.43661971830985913
Lizzie Fletcher,Democrat,Trump II,05-08 morning,591,0.4365482233502538
Brian Babin,Republican,Trump II,05-08 morning,456,0.43640350877192985
Bonnie Watson Coleman,Democrat,Trump,05-08 morning,275,0.43636363636363634
Mary E. Miller,Republican,Trump II,00-04 night,204,0.4362745098039216
Steve Daines,Republican,Biden,09-17 work,1625,0.4356923076923077
"Swalwell, Eric",Democrat,Biden,05-08 morning,964,0.43568464730290457
Lloyd Doggett,Democrat,Trump,09-17 work,6351,0.43567942056369074
Scott Fitzgerald,Republican,Biden,05-08 morning,225,0.43555555555555553
Sean Casten,Democrat,Trump,00-04 night,294,0.43537414965986393
Ruben Gallego,Democrat,Trump,05-08 morning,625,0.4352
Robert Menendez,Democrat,Trump II,09-17 work,1060,0.4349056603773585
Melanie A. Stansbury,Democrat,Trump II,00-04 night,276,0.43478260869565216
Melanie A. Stansbury,Democrat,Trump II,05-08 morning,635,0.4346456692913386
"Menendez, Bob",Democrat,Trump,18-20 evening,718,0.43454038997214484
Derrick Van Orden,Republican,Trump II,00-04 night,1222,0.43453355155482815
Greg Stanton,Democrat,Trump II,09-17 work,1471,0.4343983684568321
Thomas Massie,Republican,Biden,09-17 work,6095,0.4342904019688269
Thomas Massie,Republican,Biden,00-04 night,1532,0.43407310704960833
James P. McGovern,Democrat,Trump,18-20 evening,970,0.43402061855670104
"Frank Pallone, Jr.",Democrat,Trump,09-17 work,549,0.4335154826958106
Mitch McConnell,Republican,Biden,09-17 work,1517,0.43309162821357944
Ruben Gallego,Democrat,Trump,09-17 work,1626,0.43296432964329645
Luis Gutierrez D-IL,Democrat,Trump,09-17 work,1749,0.43281875357347055
Martin Heinrich,Democrat,Trump,09-17 work,409,0.43276283618581907
Carlos A. Gimenez,Republican,Biden,05-08 morning,731,0.4322845417236662
Troy E. Nehls,Republican,Trump II,09-17 work,539,0.4322820037105751
Nancy Mace,Republican,Trump II,18-20 evening,738,0.43224932249322495
"Frank Pallone, Jr.",Democrat,Biden,18-20 evening,250,0.432
Steve Cohen,Democrat,Biden,00-04 night,220,0.4318181818181818
Dan Crenshaw,Republican,Trump II,09-17 work,1459,0.4318026045236463
Ro Khanna,Democrat,Trump,00-04 night,3011,0.4317502490866822
Mike Doyle D-PA,Democrat,Trump,18-20 evening,248,0.4314516129032258
"Swalwell, Eric",Democrat,Biden,18-20 evening,756,0.4312169312169312
Greg Stanton,Democrat,Trump II,05-08 morning,782,0.4309462915601023
Nancy Pelosi,Democrat,Trump,05-08 morning,2140,0.4308411214953271
Beth Van Duyne,Republican,Biden,09-17 work,3827,0.430363208779723
Rand Paul,Republican,Biden,05-08 morning,2024,0.43033596837944665
Ashley Hinson,Republican,Biden,00-04 night,244,0.430327868852459
"Swalwell, Eric",Democrat,Trump,18-20 evening,1118,0.43023255813953487
Andy Harris,Republican,Biden,05-08 morning,279,0.43010752688172044
Patrick Leahy D-VT,Democrat,Trump,18-20 evening,672,0.43005952380952384
Angie Craig,Democrat,Trump II,05-08 morning,1114,0.42998204667863554
W. Gregory Steube,Republican,Trump,09-17 work,1312,0.4298780487804878
Nancy Mace,Republican,Trump II,00-04 night,2295,0.42962962962962964
Ritchie Torres,Democrat,Biden,00-04 night,412,0.42961165048543687
Chris Van Hollen,Democrat,Biden,09-17 work,2016,0.42956349206349204
Nancy Mace,Republican,Biden,05-08 morning,2051,0.4295465626523647
"Earl L. ""Buddy"" Carter",Republican,Biden,05-08 morning,319,0.42946708463949845
"Johnny Olszewski, Jr.",Democrat,Trump II,09-17 work,408,0.42892156862745096
Brian Schatz,Democrat,Trump,00-04 night,740,0.4283783783783784
"Cardin, Benjamin",Democrat,Trump,18-20 evening,432,0.42824074074074076
Derrick Van Orden,Republican,Trump II,05-08 morning,1591,0.42803268384663734
Ro Khanna,Democrat,Trump,05-08 morning,5257,0.42781053832984595
Derrick Van Orden,Republican,Biden,05-08 morning,608,0.4276315789473684
"Banks, Jim",Republican,Trump,18-20 evening,442,0.4276018099547511
"Swalwell, Eric",Democrat,Trump,09-17 work,4087,0.42720822118913626
Ted Deutch D-FL,Democrat,Trump,05-08 morning,267,0.42696629213483145
Diana DeGette,Democrat,Trump,09-17 work,2696,0.42692878338278933
Andy Biggs,Republican,Trump,09-17 work,8060,0.4269230769230769
Elizabeth Warren,Democrat,Trump,05-08 morning,3257,0.42677310408351243
Lizzie Fletcher,Democrat,Trump II,09-17 work,635,0.4267716535433071
Robert B. Aderholt,Republican,Biden,09-17 work,621,0.42673107890499196
"Casey, Robert Jr.",Democrat,Trump,09-17 work,6142,0.42657114946271574
"Robert F. Onder, Jr.",Republican,Trump II,09-17 work,612,0.4264705882352941
Jerrold Nadler,Democrat,Biden,05-08 morning,406,0.42610837438423643
"Casey, Robert Jr.",Democrat,Trump,18-20 evening,874,0.425629290617849
Gregory F. Murphy,Republican,Biden,05-08 morning,590,0.42542372881355933
Rand Paul,Republican,Trump,00-04 night,268,0.4253731343283582
Don Bacon,Republican,Biden,00-04 night,487,0.42505133470225875
Jim Jordan,Republican,Biden,05-08 morning,1861,0.4250403009134874
Tommy Tuberville,Republican,Biden,09-17 work,3713,0.4249932669000808
Bill Huizenga,Republican,Biden,09-17 work,1191,0.4248530646515533
Lateefah Simon,Democrat,Trump II,09-17 work,299,0.42474916387959866
Diana Harshbarger,Republican,Biden,09-17 work,1842,0.4245385450597177
Lee Zeldin R-NY,Republican,Trump,18-20 evening,502,0.4243027888446215
Marsha Blackburn,Republican,Trump,00-04 night,422,0.42417061611374407
Mark R. Warner,Democrat,Trump,05-08 morning,526,0.42395437262357416
Kamala Harris D-CA,Democrat,Trump,18-20 evening,491,0.42362525458248473
"Swalwell, Eric",Democrat,Trump,21-23 late,373,0.42359249329758714
Rand Paul,Republican,Trump,05-08 morning,1065,0.42347417840375584
Anna Paulina Luna,Republican,Biden,18-20 evening,494,0.4230769230769231
Christopher Murphy,Democrat,Biden,05-08 morning,1170,0.4230769230769231
Derrick Van Orden,Republican,Biden,00-04 night,452,0.4225663716814159
Pat Harrigan,Republican,Trump II,05-08 morning,831,0.4223826714801444
Steve Scalise,Republican,Trump II,09-17 work,502,0.42231075697211157
"Budd, Ted",Republican,Biden,09-17 work,1576,0.4219543147208122
Stephen F. Lynch,Democrat,Trump II,09-17 work,313,0.4217252396166134
Sam T. Liccardo,Democrat,Trump II,09-17 work,1000,0.421
Ami Bera,Democrat,Trump II,09-17 work,354,0.4209039548022599
Luz M. Rivas,Democrat,Trump II,09-17 work,649,0.4206471494607088
Derrick Van Orden,Republican,Trump II,09-17 work,3371,0.4206466923761495
Alexandria Ocasio-Cortez,Democrat,Trump,05-08 morning,1127,0.42058562555456963
Raul Ruiz,Democrat,Trump II,09-17 work,407,0.4201474201474201
Ted Cruz,Republican,Obama,18-20 evening,457,0.4201312910284464
Amy Klobuchar,Democrat,Trump II,09-17 work,2395,0.42004175365344465
Liz Cheney R-WY,Republican,Biden,09-17 work,648,0.41975308641975306
Rand Paul,Republican,Trump,09-17 work,1230,0.4195121951219512
Lisa C. McClain,Republican,Trump II,05-08 morning,708,0.4194915254237288
Suzanne Bonamici,Democrat,Trump II,09-17 work,267,0.41947565543071164
Ted Deutch D-FL,Democrat,Trump,09-17 work,4837,0.4192681414099649
Josh Gottheimer,Democrat,Trump II,09-17 work,759,0.4189723320158103
Melanie A. Stansbury,Democrat,Trump II,09-17 work,1246,0.4189406099518459
Richard Hudson,Republican,Biden,05-08 morning,375,0.4186666666666667
"Frank Pallone, Jr.",Democrat,Trump,05-08 morning,301,0.4186046511627907
"Johnny Olszewski, Jr.",Democrat,Trump II,05-08 morning,232,0.41810344827586204
Dan Sullivan,Republican,Biden,05-08 morning,536,0.417910447761194
Sylvia R. Garcia,Democrat,Trump II,09-17 work,857,0.4177362893815636
Clay Higgins,Republican,Biden,05-08 morning,273,0.4175824175824176
Brendan F. Boyle,Democrat,Trump II,18-20 evening,211,0.41706161137440756
Diane Black R-TN,Republican,Obama,18-20 evening,235,0.41702127659574467
Jim Bridenstine R-OK,Republican,Obama,09-17 work,859,0.4167636786961583
Bill Huizenga,Republican,Biden,05-08 morning,233,0.41630901287553645
Bill Huizenga,Republican,Biden,18-20 evening,209,0.41626794258373206
"Menendez, Bob",Democrat,Trump,09-17 work,7576,0.4156546990496304
Jasmine Crockett,Democrat,Biden,05-08 morning,426,0.4154929577464789
Bill Hagerty,Republican,Biden,21-23 late,337,0.41543026706231456
Chris Jacobs R-NY,Republican,Biden,09-17 work,484,0.4152892561983471
Virginia Foxx,Republican,Biden,05-08 morning,306,0.4150326797385621
Roger F. Wicker,Republican,Biden,00-04 night,200,0.415
Mo Brooks R-AL,Republican,Trump,18-20 evening,229,0.4148471615720524
"Charles J. ""Chuck"" Fleischmann",Republican,Biden,05-08 morning,340,0.4147058823529412
"Banks, Jim",Republican,Trump,05-08 morning,246,0.4146341463414634
Nancy Pelosi,Democrat,Trump II,09-17 work,234,0.41452991452991456
Andy Harris,Republican,Trump II,09-17 work,538,0.4144981412639405
Jim Jordan,Republican,Biden,18-20 evening,304,0.4144736842105263
Elizabeth Warren,Democrat,Trump,00-04 night,526,0.4144486692015209
Nicole Malliotakis,Republican,Biden,18-20 evening,285,0.41403508771929826
Bonnie Watson Coleman,Democrat,Trump,18-20 evening,285,0.41403508771929826
Gwen Moore,Democrat,Trump,09-17 work,3218,0.4139216904909882
Beth Van Duyne,Republican,Trump II,05-08 morning,522,0.41379310344827586
Jeff Merkley,Democrat,Biden,00-04 night,607,0.4135090609555189
Ken Calvert,Republican,Trump II,05-08 morning,634,0.41324921135646686
Alcee Hastings D-FL,Democrat,Trump,09-17 work,1072,0.41324626865671643
Andrea Salinas,Democrat,Trump II,05-08 morning,714,0.41316526610644255
Diana DeGette,Democrat,Trump,05-08 morning,610,0.4131147540983607
Marilyn Strickland,Democrat,Trump II,05-08 morning,368,0.41304347826086957
Christopher Murphy,Democrat,Biden,18-20 evening,441,0.4126984126984127
"Swalwell, Eric",Democrat,Trump,05-08 morning,1519,0.4121132323897301
Thomas Massie,Republican,Biden,18-20 evening,1477,0.4116452268111036
Michael Guest,Republican,Biden,09-17 work,1538,0.4115734720416125
Tammy Duckworth,Democrat,Trump,05-08 morning,678,0.41150442477876104
"Lee, Barbara",Democrat,Trump,18-20 evening,355,0.4112676056338028
Ashley Hinson,Republican,Biden,05-08 morning,1090,0.41100917431192663
Randy Fine,Republican,Trump II,18-20 evening,256,0.41015625
Kathleen Rice D-NY,Democrat,Trump,09-17 work,1390,0.41007194244604317
Suhas Subramanyam,Democrat,Trump II,05-08 morning,344,0.40988372093023256
Michael A. Rulli,Republican,Trump II,09-17 work,388,0.4097938144329897
Joe Crowley D-NY,Democrat,Trump,09-17 work,2389,0.409376308078694
James P. McGovern,Democrat,Biden,21-23 late,345,0.40869565217391307
Ted Cruz,Republican,Obama,09-17 work,3112,0.4084190231362468
Daniel Meuser,Republican,Biden,09-17 work,1680,0.4083333333333333
Roger Marshall,Republican,Biden,00-04 night,414,0.4082125603864734
James P. McGovern,Democrat,Biden,05-08 morning,539,0.40816326530612246
Nicole Malliotakis,Republican,Trump II,05-08 morning,451,0.4079822616407982
Nancy Pelosi,Democrat,Trump,09-17 work,3322,0.4078868151715834
Eliot Engel D-NY,Democrat,Trump,09-17 work,2187,0.407864654778235
Seth Magaziner,Democrat,Trump II,05-08 morning,917,0.4078516902944384
Carlos A. Gimenez,Republican,Biden,09-17 work,2710,0.4077490774907749
Sean Casten,Democrat,Biden,00-04 night,731,0.4076607387140903
Gregory F. Murphy,Republican,Biden,09-17 work,2630,0.40760456273764256
Kevin Hern,Republican,Trump II,05-08 morning,351,0.4074074074074074
Al Green,Democrat,Trump,05-08 morning,447,0.407158836689038
Virginia Foxx,Republican,Trump,09-17 work,226,0.40707964601769914
Joni Ernst,Republican,Biden,00-04 night,543,0.40699815837937386
Brian J. Mast,Republican,Biden,00-04 night,408,0.4068627450980392
Michael T. McCaul,Republican,Biden,09-17 work,2400,0.4066666666666667
Eleanor Holmes Norton,Democrat,Trump II,05-08 morning,320,0.40625
Pramila Jayapal,Democrat,Trump,18-20 evening,2246,0.40605520926090827
"Lamborn, Doug",Republican,Biden,05-08 morning,303,0.40594059405940597
Maria Cantwell,Democrat,Trump II,09-17 work,340,0.40588235294117647
"Phillips, Dean",Democrat,Biden,05-08 morning,318,0.4056603773584906
Suhas Subramanyam,Democrat,Trump II,09-17 work,779,0.4056482670089859
Ted Cruz,Republican,Obama,05-08 morning,511,0.4050880626223092
Rashida Tlaib,Democrat,Biden,09-17 work,3074,0.4046844502277163
Mike Thompson,Democrat,Trump II,05-08 morning,581,0.4044750430292599
Donald Norcross,Democrat,Trump II,09-17 work,628,0.40445859872611467
Tim Scott,Republican,Biden,09-17 work,3858,0.40435458786936235
Laura Friedman,Democrat,Trump II,05-08 morning,329,0.40425531914893614
Austin Scott,Republican,Biden,09-17 work,649,0.4036979969183359
Eugene Simon Vindman,Democrat,Trump II,05-08 morning,731,0.40355677154582764
Fred Keller R-PA,Republican,Biden,09-17 work,1653,0.40350877192982454
Nicholas A. Langworthy,Republican,Biden,09-17 work,632,0.40348101265822783
"Porter, Katie",Democrat,Biden,09-17 work,1522,0.40341655716162944
Thomas Massie,Republican,Biden,21-23 late,1183,0.40321217244294166
Pete Stauber,Republican,Biden,05-08 morning,556,0.4028776978417266
Joe Wilson,Republican,Biden,09-17 work,1462,0.40287277701778385
Pramila Jayapal,Democrat,Trump,09-17 work,12266,0.40265775313875757
Warren Davidson,Republican,Biden,18-20 evening,236,0.4025423728813559
Burgess Owens,Republican,Biden,00-04 night,395,0.40253164556962023
Ro Khanna,Democrat,Trump,09-17 work,11128,0.40213874910136593
Mark Takano,Democrat,Trump,09-17 work,2276,0.40202108963093147
William R. Keating,Democrat,Trump,09-17 work,398,0.4020100502512563
"Earl L. ""Buddy"" Carter",Republican,Trump II,05-08 morning,448,0.4017857142857143
Joyce Beatty,Democrat,Trump II,09-17 work,508,0.4015748031496063
Gabe Evans,Republican,Trump II,00-04 night,314,0.4012738853503185
Lois Frankel,Democrat,Trump,09-17 work,3228,0.40117719950433706
Al Green,Democrat,Trump,09-17 work,1289,0.4010861132660978
Rudy Yakym III,Republican,Biden,09-17 work,1142,0.4010507880910683
Yvette D. Clarke,Democrat,Trump,05-08 morning,317,0.40063091482649843
Susie Lee,Democrat,Trump II,05-08 morning,392,0.4005102040816326
Diana Harshbarger,Republican,Trump II,05-08 morning,447,0.4004474272930649
LaMonica McIver,Democrat,Trump II,09-17 work,1407,0.40014214641080315
Robert Menendez,Democrat,Trump II,05-08 morning,505,0.4
James A. Himes,Democrat,Trump,05-08 morning,215,0.4
Marsha Blackburn,Republican,Trump II,09-17 work,2518,0.3995234312946783
Lloyd Doggett,Democrat,Trump,21-23 late,318,0.39937106918238996
Bobby Rush D-IL,Democrat,Trump,05-08 morning,298,0.39932885906040266
Ted Cruz,Republican,Trump II,00-04 night,759,0.39920948616600793
Margaret Wood Hassan,Democrat,Trump II,05-08 morning,233,0.39914163090128757
Sheldon Whitehouse,Democrat,Biden,00-04 night,228,0.3991228070175439
Elissa Slotkin,Democrat,Trump II,09-17 work,411,0.39902676399026765
Joe Kennedy D-MA,Democrat,Trump,18-20 evening,341,0.39882697947214074
"Donald S. Beyer, Jr.",Democrat,Biden,09-17 work,1437,0.3987473903966597
Christopher Murphy,Democrat,Biden,09-17 work,2414,0.3985086992543496
"Rodgers, Cathy McMorris",Republican,Biden,09-17 work,266,0.39849624060150374
Raja Krishnamoorthi,Democrat,Biden,09-17 work,1578,0.3979721166032953
Virginia Foxx,Republican,Trump II,09-17 work,621,0.3977455716586151
Lois Frankel,Democrat,Trump,05-08 morning,239,0.39748953974895396
Dianne Feinstein D-CA,Democrat,Trump,09-17 work,4448,0.39748201438848924
John W. Rose,Republican,Biden,09-17 work,1233,0.39740470397404704
Barry Moore,Republican,Trump II,09-17 work,491,0.3971486761710794
Mark Pocan,Democrat,Biden,05-08 morning,801,0.3970037453183521
Marsha Blackburn,Republican,Trump II,00-04 night,446,0.3968609865470852
Marsha Blackburn,Republican,Trump II,05-08 morning,1376,0.39680232558139533
Summer L. Lee,Democrat,Biden,09-17 work,1167,0.3967437874892888
Sean Maloney D-NY,Democrat,Trump,18-20 evening,527,0.396584440227704
Dina Titus,Democrat,Trump II,05-08 morning,865,0.3965317919075145
Anna Paulina Luna,Republican,Trump II,05-08 morning,1759,0.3962478681068789
James A. Himes,Democrat,Trump,09-17 work,462,0.3961038961038961
Nydia M. Velázquez,Democrat,Trump,05-08 morning,268,0.39552238805970147
Anthony Brown D-MD,Democrat,Trump,18-20 evening,210,0.3952380952380952
Gabe Evans,Republican,Trump II,09-17 work,706,0.3951841359773371
André Carson,Democrat,Trump II,05-08 morning,286,0.3951048951048951
"Charles J. ""Chuck"" Fleischmann",Republican,Biden,09-17 work,1787,0.39507554560716285
Rick Scott,Republican,Trump II,00-04 night,486,0.3950617283950617
Jodey C. Arrington,Republican,Trump II,05-08 morning,294,0.3945578231292517
Thomas Massie,Republican,Obama,18-20 evening,251,0.3944223107569721
Maxwell Frost,Democrat,Trump II,05-08 morning,581,0.39414802065404475
Janice D. Schakowsky,Democrat,Trump,09-17 work,1457,0.3939601921757035
Nicole Malliotakis,Republican,Trump II,09-17 work,754,0.39389920424403185
Grace Meng,Democrat,Trump II,09-17 work,1890,0.39365079365079364
"Carper, Thomas ",Democrat,Trump,18-20 evening,719,0.39360222531293465
Nydia M. Velázquez,Democrat,Trump,09-17 work,493,0.3935091277890467
Pramila Jayapal,Democrat,Biden,00-04 night,1149,0.39338555265448216
Clay Fuller,Republican,Trump II,09-17 work,374,0.393048128342246
Troy A. Carter,Democrat,Trump II,05-08 morning,499,0.3927855711422846
Mike Kelly,Republican,Biden,05-08 morning,275,0.3927272727272727
Mazie K. Hirono,Democrat,Biden,00-04 night,494,0.39271255060728744
Marcy Kaptur,Democrat,Trump,18-20 evening,242,0.3925619834710744
Michael Guest,Republican,Biden,05-08 morning,456,0.3925438596491228
Tom Udall D-NM,Democrat,Trump,05-08 morning,372,0.3924731182795699
Elizabeth Warren,Democrat,Obama,05-08 morning,418,0.3923444976076555
Brad Sherman,Democrat,Trump,05-08 morning,209,0.3923444976076555
Derrick Van Orden,Republican,Biden,09-17 work,1792,0.39229910714285715
Russell Fry,Republican,Trump II,09-17 work,900,0.39222222222222225
Elijah Crane,Republican,Trump II,00-04 night,1214,0.39209225700164746
Joyce Beatty,Democrat,Trump II,05-08 morning,250,0.392
Tammy Duckworth,Democrat,Trump,09-17 work,4909,0.39193318394785087
Ted Cruz,Republican,Trump,18-20 evening,1258,0.3918918918918919
Ted Cruz,Republican,Trump II,05-08 morning,2346,0.3917306052855925
Katherine Clark D-MA,Democrat,Trump,18-20 evening,240,0.39166666666666666
John Conyers D-MI,Democrat,Trump,09-17 work,916,0.39082969432314413
Steven Horsford,Democrat,Trump II,00-04 night,607,0.3904448105436573
Scott DesJarlais,Republican,Biden,09-17 work,510,0.39019607843137255
Burgess Owens,Republican,Biden,09-17 work,2462,0.38992688870836717
Andy Barr,Republican,Biden,09-17 work,1870,0.38983957219251336
Burgess Owens,Republican,Biden,05-08 morning,1212,0.38943894389438943
Tracey Mann,Republican,Biden,09-17 work,1012,0.3893280632411067
Chellie Pingree,Democrat,Trump,09-17 work,316,0.38924050632911394
Sylvia R. Garcia,Democrat,Trump II,05-08 morning,671,0.3889716840536513
Russell Fry,Republican,Biden,09-17 work,903,0.38870431893687707
Veronica Escobar,Democrat,Trump,21-23 late,314,0.3885350318471338
Val Demings D-FL,Democrat,Trump,09-17 work,5894,0.38853070919579236
Mike Ezell,Republican,Biden,09-17 work,618,0.3883495145631068
Dina Titus,Democrat,Trump II,00-04 night,291,0.38831615120274915
Jim Jordan,Republican,Trump II,05-08 morning,667,0.38830584707646176
Chris Van Hollen,Democrat,Obama,05-08 morning,742,0.3881401617250674
"Henry C. ""Hank"" Johnson, Jr.",Democrat,Trump,09-17 work,335,0.3880597014925373
Maxine Waters,Democrat,Biden,09-17 work,464,0.3879310344827586
Val Demings D-FL,Democrat,Trump,18-20 evening,789,0.38783269961977185
Ken Calvert,Republican,Trump II,09-17 work,539,0.3877551020408163
Veronica Escobar,Democrat,Trump,05-08 morning,583,0.3876500857632933
Joe Courtney,Democrat,Trump II,09-17 work,529,0.387523629489603
Andy Barr,Republican,Biden,18-20 evening,271,0.3874538745387454
Angie Craig,Democrat,Trump II,09-17 work,1400,0.3871428571428571
"Bush, Cori",Democrat,Biden,18-20 evening,341,0.3870967741935484
Sydney Kamlager-Dove,Democrat,Biden,05-08 morning,256,0.38671875
Stephanie I. Bice,Republican,Biden,05-08 morning,471,0.386411889596603
Vern Buchanan,Republican,Biden,09-17 work,785,0.38598726114649684
Warren Davidson,Republican,Trump,09-17 work,342,0.38596491228070173
Sam Graves,Republican,Biden,09-17 work,916,0.3853711790393013
Mike Quigley,Democrat,Trump,18-20 evening,636,0.38522012578616355
Dianne Feinstein D-CA,Democrat,Trump,05-08 morning,704,0.3849431818181818
"Robert F. Onder, Jr.",Republican,Trump II,00-04 night,291,0.3848797250859107
Diana Harshbarger,Republican,Biden,05-08 morning,429,0.38461538461538464
Carlos A. Gimenez,Republican,Biden,18-20 evening,333,0.3843843843843844
Bonnie Watson Coleman,Democrat,Trump,09-17 work,2894,0.38424326192121633
Ro Khanna,Democrat,Biden,05-08 morning,2767,0.38380917961691363
"Cardenas, Tony",Democrat,Trump,09-17 work,1984,0.38356854838709675
"D'Esposito, Anthony",Republican,Biden,09-17 work,730,0.3835616438356164
Tim Burchett,Republican,Biden,09-17 work,4027,0.38341196920784704
Gwen Moore,Democrat,Trump,05-08 morning,240,0.38333333333333336
Mike Collins,Republican,Biden,09-17 work,1391,0.38317757009345793
Yvette D. Clarke,Democrat,Trump,09-17 work,3853,0.3830781209447184
Tim Scott,Republican,Biden,05-08 morning,854,0.382903981264637
Warren Davidson,Republican,Trump II,05-08 morning,478,0.38284518828451886
Nancy Pelosi,Democrat,Trump II,00-04 night,209,0.3827751196172249
"Donald S. Beyer, Jr.",Democrat,Biden,05-08 morning,651,0.3824884792626728
Jason Smith,Republican,Trump II,05-08 morning,597,0.38190954773869346
Mike Johnson,Republican,Biden,05-08 morning,364,0.38186813186813184
Debbie Wasserman Schultz,Democrat,Biden,05-08 morning,948,0.3818565400843882
Patrick Ryan,Democrat,Trump II,09-17 work,1005,0.38109452736318405
Chris Pappas,Democrat,Trump II,05-08 morning,814,0.3808353808353808
"Earl L. ""Buddy"" Carter",Republican,Trump II,09-17 work,586,0.38054607508532423
Tom Cotton,Republican,Trump,09-17 work,3128,0.3804347826086957
Gabe Vasquez,Democrat,Trump II,05-08 morning,326,0.3803680981595092
Lee Zeldin R-NY,Republican,Trump,21-23 late,471,0.38004246284501064
Lauren Boebert,Republican,Trump II,09-17 work,887,0.37993235625704624
Mike Rogers,Republican,Biden,05-08 morning,508,0.3799212598425197
Jamie Raskin,Democrat,Biden,05-08 morning,345,0.37971014492753624
Jackie Speier D-CA,Democrat,Obama,05-08 morning,693,0.3795093795093795
Dina Titus,Democrat,Trump II,09-17 work,823,0.37910085054678005
Mark DeSaulnier,Democrat,Trump,09-17 work,2546,0.37902592301649646
Paul A. Gosar,Republican,Trump,05-08 morning,2240,0.37857142857142856
Mazie K. Hirono,Democrat,Biden,05-08 morning,555,0.3783783783783784
Tony Wied,Republican,Trump II,05-08 morning,407,0.3783783783783784
Janice D. Schakowsky,Democrat,Trump,18-20 evening,275,0.3781818181818182
John R. Carter,Republican,Biden,09-17 work,746,0.3780160857908847
Ruben Gallego,Democrat,Biden,00-04 night,500,0.378
Bill Cassidy,Republican,Biden,05-08 morning,1704,0.3779342723004695
Ashley Moody,Republican,Trump II,09-17 work,818,0.37775061124694376
Paul A. Gosar,Republican,Trump,18-20 evening,654,0.37767584097859325
Cliff Bentz,Republican,Biden,05-08 morning,474,0.37763713080168776
Troy A. Carter,Democrat,Trump II,09-17 work,715,0.3776223776223776
Mary Gay Scanlon,Democrat,Trump,21-23 late,432,0.3773148148148148
Mark Pocan,Democrat,Biden,09-17 work,3009,0.3772017281488867
"Gaetz, Matt",Republican,Trump,18-20 evening,745,0.37718120805369126
Sarah McBride,Democrat,Trump II,09-17 work,525,0.37714285714285717
"Cardenas, Tony",Democrat,Trump,05-08 morning,525,0.37714285714285717
Roger F. Wicker,Republican,Biden,09-17 work,4092,0.3770772238514174
Rosa L. DeLauro,Democrat,Trump,09-17 work,491,0.37678207739307534
Dan Sullivan,Republican,Biden,09-17 work,831,0.3766546329723225
Gwen Moore,Democrat,Trump,18-20 evening,563,0.3765541740674956
Mark DeSaulnier,Democrat,Trump,05-08 morning,571,0.37653239929947463
