name,party,era,band,n,share_angry
Alex Padilla,Democrat,Trump II,05-08 morning,557,0.6840215439856373
Jimmy Gomez,Democrat,Trump II,09-17 work,573,0.6823734729493892
Jacky Rosen,Democrat,Trump II,00-04 night,289,0.6816608996539792
Alex Padilla,Democrat,Trump II,09-17 work,1139,0.6812993854258121
Jeff Merkley,Democrat,Trump II,09-17 work,698,0.6805157593123209
Pete Aguilar,Democrat,Trump II,05-08 morning,244,0.680327868852459
Andy Biggs,Republican,Biden,00-04 night,1460,0.6794520547945205
Ted Lieu,Democrat,Trump II,05-08 morning,1169,0.679213002566296
Kevin Kiley,Independent,Trump II,09-17 work,602,0.6777408637873754
Pat Fallon,Republican,Biden,05-08 morning,865,0.6763005780346821
Delia C. Ramirez,Democrat,Trump II,09-17 work,1253,0.6759776536312849
Mark R. Warner,Democrat,Trump II,05-08 morning,583,0.6740994854202401
Hakeem S. Jeffries,Democrat,Trump II,09-17 work,400,0.6725
Guy Reschenthaler,Republican,Biden,09-17 work,1429,0.6710986703988804
Shontel M. Brown,Democrat,Trump II,05-08 morning,602,0.6710963455149501
John W. Hickenlooper,Democrat,Trump II,09-17 work,1944,0.6707818930041153
Richard J. Durbin,Democrat,Trump II,05-08 morning,850,0.6705882352941176
Sara Jacobs,Democrat,Trump II,09-17 work,634,0.6703470031545742
Richard J. Durbin,Democrat,Trump II,09-17 work,1130,0.6699115044247788
Richard Blumenthal,Democrat,Trump II,09-17 work,1677,0.6696481812760883
Daniel S. Goldman,Democrat,Trump II,05-08 morning,744,0.6693548387096774
John Garamendi,Democrat,Trump II,00-04 night,248,0.6693548387096774
Mary Gay Scanlon,Democrat,Trump II,09-17 work,1168,0.6686643835616438
Kirsten E. Gillibrand,Democrat,Trump II,09-17 work,1403,0.6678545972915182
Sheldon Whitehouse,Democrat,Trump II,05-08 morning,1251,0.6674660271782574
"Donald S. Beyer, Jr.",Democrat,Trump,05-08 morning,1180,0.6669491525423729
Jeff Merkley,Democrat,Trump,00-04 night,327,0.6666666666666666
Hakeem S. Jeffries,Democrat,Trump,18-20 evening,258,0.6666666666666666
"Greene, Marjorie Taylor",Republican,Biden,09-17 work,2012,0.6665009940357853
Sydney Kamlager-Dove,Democrat,Trump II,05-08 morning,581,0.6660929432013769
John B. Larson,Democrat,Trump II,05-08 morning,576,0.6649305555555556
Steve Scalise,Republican,Trump,00-04 night,247,0.6639676113360324
Richard J. Durbin,Democrat,Trump II,00-04 night,205,0.6634146341463415
Richard Blumenthal,Democrat,Trump,05-08 morning,811,0.6633785450061652
Lance Gooden,Republican,Trump,05-08 morning,216,0.6620370370370371
"Good, Bob",Republican,Biden,09-17 work,1414,0.6605374823196606
Christopher A. Coons,Democrat,Trump II,09-17 work,674,0.6602373887240356
Pat Fallon,Republican,Biden,00-04 night,273,0.6593406593406593
Eric Burlison,Republican,Biden,09-17 work,1240,0.6588709677419354
Mary E. Miller,Republican,Biden,00-04 night,246,0.6585365853658537
Ted Lieu,Democrat,Trump II,00-04 night,748,0.6577540106951871
Tom Cotton,Republican,Biden,18-20 evening,213,0.6572769953051644
Juan Vargas,Democrat,Trump II,05-08 morning,204,0.6568627450980392
Maxine Dexter,Democrat,Trump II,00-04 night,282,0.6560283687943262
Daniel S. Goldman,Democrat,Trump II,09-17 work,1584,0.6559343434343434
Chip Roy,Republican,Biden,05-08 morning,1275,0.6541176470588236
Kevin Kiley,Independent,Trump II,05-08 morning,528,0.6534090909090909
Alex Padilla,Democrat,Trump II,00-04 night,222,0.6531531531531531
Josh Brecheen,Republican,Biden,09-17 work,764,0.6531413612565445
Steve Scalise,Republican,Trump,09-17 work,746,0.6528150134048257
John Garamendi,Democrat,Trump II,09-17 work,331,0.6525679758308157
Sara Jacobs,Democrat,Trump II,05-08 morning,554,0.6516245487364621
Ted Lieu,Democrat,Trump II,09-17 work,1461,0.6516084873374401
Shontel M. Brown,Democrat,Trump II,09-17 work,924,0.6515151515151515
Dwight Evans,Democrat,Trump II,09-17 work,1060,0.6509433962264151
Becca Balint,Democrat,Trump II,09-17 work,658,0.6504559270516718
John Garamendi,Democrat,Trump II,05-08 morning,460,0.65
Robert Garcia,Democrat,Trump II,00-04 night,394,0.649746192893401
Rashida Tlaib,Democrat,Trump II,09-17 work,1044,0.6484674329501916
Nicole Malliotakis,Republican,Biden,00-04 night,523,0.6481835564053537
Jimmy Gomez,Democrat,Trump II,00-04 night,295,0.6474576271186441
Andy Biggs,Republican,Biden,05-08 morning,3057,0.6467124631992149
Mark Takano,Democrat,Trump II,05-08 morning,232,0.646551724137931
Bernie Moreno,Republican,Trump II,05-08 morning,291,0.6460481099656358
Veronica Escobar,Democrat,Trump II,00-04 night,206,0.6456310679611651
Bernard Sanders,Independent,Trump II,05-08 morning,680,0.6455882352941177
"Donald S. Beyer, Jr.",Democrat,Trump II,09-17 work,993,0.6455186304128903
Thomas P. Tiffany,Republican,Trump II,00-04 night,361,0.6454293628808865
Maxine Dexter,Democrat,Trump II,09-17 work,250,0.644
Mary Gay Scanlon,Democrat,Trump II,05-08 morning,556,0.6438848920863309
Jason Smith,Republican,Biden,09-17 work,2460,0.6426829268292683
James Comer,Republican,Biden,05-08 morning,509,0.6424361493123772
Becca Balint,Democrat,Trump II,05-08 morning,380,0.6421052631578947
Pat Fallon,Republican,Biden,09-17 work,2531,0.6420387198735678
Raphael G. Warnock,Democrat,Trump II,09-17 work,980,0.6418367346938776
Bennie G. Thompson,Democrat,Trump II,05-08 morning,427,0.6416861826697893
Christopher A. Coons,Democrat,Trump II,05-08 morning,410,0.6414634146341464
Yassamin Ansari,Democrat,Trump II,00-04 night,368,0.6413043478260869
Sydney Kamlager-Dove,Democrat,Trump II,09-17 work,840,0.6404761904761904
Jamie Raskin,Democrat,Trump II,09-17 work,723,0.640387275242047
Marsha Blackburn,Republican,Biden,09-17 work,6465,0.6402165506573859
Bernard Sanders,Independent,Trump II,09-17 work,1361,0.639235855988244
Maxine Waters,Democrat,Trump,09-17 work,880,0.6386363636363637
Brandon Gill,Republican,Trump II,00-04 night,315,0.638095238095238
Jimmy Gomez,Democrat,Trump II,05-08 morning,483,0.6376811594202898
Dwight Evans,Democrat,Trump II,05-08 morning,353,0.6373937677053825
Sheldon Whitehouse,Democrat,Trump II,09-17 work,2284,0.6366024518388792
Tammy Baldwin,Democrat,Trump II,05-08 morning,487,0.6344969199178645
Mary E. Miller,Republican,Biden,05-08 morning,733,0.6343792633015006
Ted Lieu,Democrat,Trump,00-04 night,1334,0.6334332833583208
Jerrold Nadler,Democrat,Trump II,05-08 morning,341,0.6334310850439883
Jefferson Van Drew,Republican,Biden,09-17 work,710,0.6309859154929578
Lisa Blunt Rochester,Democrat,Trump II,05-08 morning,425,0.6305882352941177
Mike Levin,Democrat,Trump II,09-17 work,863,0.6303592120509849
Dave Min,Democrat,Trump II,09-17 work,246,0.6300813008130082
Guy Reschenthaler,Republican,Biden,05-08 morning,508,0.6299212598425197
"Greene, Marjorie Taylor",Republican,Biden,18-20 evening,399,0.6290726817042607
"Jesús G. ""Chuy"" García",Democrat,Trump II,09-17 work,620,0.6290322580645161
Gwen Moore,Democrat,Trump II,09-17 work,563,0.6287744227353463
Lauren Boebert,Republican,Biden,00-04 night,1990,0.628643216080402
Jasmine Crockett,Democrat,Trump II,09-17 work,1042,0.6285988483685221
Yassamin Ansari,Democrat,Trump II,05-08 morning,1043,0.6279961649089166
Mazie K. Hirono,Democrat,Trump,05-08 morning,379,0.6279683377308707
John Kennedy,Republican,Trump II,09-17 work,457,0.6258205689277899
Debbie Wasserman Schultz,Democrat,Trump II,05-08 morning,1027,0.6251217137293087
Judy Chu,Democrat,Trump,05-08 morning,1079,0.6246524559777572
Kirsten E. Gillibrand,Democrat,Trump II,05-08 morning,678,0.6238938053097345
"Bishop, Dan",Republican,Biden,21-23 late,279,0.6236559139784946
Emanuel Cleaver,Democrat,Trump II,05-08 morning,895,0.623463687150838
Scott Perry,Republican,Biden,09-17 work,701,0.62339514978602
Marsha Blackburn,Republican,Biden,18-20 evening,427,0.6229508196721312
Darrell Issa,Republican,Trump II,05-08 morning,220,0.6227272727272727
Maxine Dexter,Democrat,Trump II,05-08 morning,318,0.6226415094339622
Maxine Waters,Democrat,Trump,05-08 morning,416,0.6225961538461539
Ron Wyden,Democrat,Trump II,05-08 morning,445,0.6224719101123596
Mary E. Miller,Republican,Biden,18-20 evening,241,0.6224066390041494
Darrell Issa,Republican,Biden,05-08 morning,860,0.622093023255814
Jason Smith,Republican,Biden,05-08 morning,868,0.6209677419354839
Adam B. Schiff,Democrat,Trump II,05-08 morning,783,0.6206896551724138
Raphael G. Warnock,Democrat,Trump II,05-08 morning,526,0.6197718631178707
Summer L. Lee,Democrat,Trump II,05-08 morning,391,0.618925831202046
Jefferson Van Drew,Republican,Trump II,09-17 work,204,0.6176470588235294
"Lesko, Debbie",Republican,Biden,18-20 evening,216,0.6157407407407407
Josh Hawley,Republican,Biden,05-08 morning,1979,0.6149570490146539
Darrell Issa,Republican,Biden,09-17 work,1553,0.6149388280746941
Nanette Diaz Barragán,Democrat,Trump II,05-08 morning,350,0.6142857142857143
Mark Pocan,Democrat,Trump II,09-17 work,686,0.6137026239067055
Ben Ray Luján,Democrat,Trump II,05-08 morning,546,0.6135531135531136
Steve Cohen,Democrat,Trump II,05-08 morning,248,0.6129032258064516
Debbie Wasserman Schultz,Democrat,Trump II,09-17 work,1460,0.6123287671232877
James Comer,Republican,Trump II,05-08 morning,486,0.6111111111111112
Catherine Cortez Masto,Democrat,Trump II,05-08 morning,725,0.6110344827586207
Delia C. Ramirez,Democrat,Trump II,05-08 morning,708,0.6101694915254238
Ron Wyden,Democrat,Trump II,00-04 night,364,0.6098901098901099
John Kennedy,Republican,Trump II,05-08 morning,469,0.6098081023454158
Darrell Issa,Republican,Biden,00-04 night,489,0.6094069529652352
"Donald S. Beyer, Jr.",Democrat,Trump II,05-08 morning,641,0.608424336973479
Nanette Diaz Barragán,Democrat,Trump II,09-17 work,604,0.6076158940397351
Rosa L. DeLauro,Democrat,Trump II,05-08 morning,629,0.6073131955484896
"Bishop, Dan",Republican,Biden,09-17 work,2659,0.6069951109439639
Ben Ray Luján,Democrat,Trump II,09-17 work,1020,0.6068627450980392
Bennie G. Thompson,Democrat,Trump II,09-17 work,379,0.6068601583113457
Cory A. Booker,Democrat,Trump II,05-08 morning,778,0.6066838046272494
Bernie Moreno,Republican,Trump II,09-17 work,460,0.6065217391304348
Bob Gibbs R-OH,Republican,Biden,09-17 work,515,0.6058252427184466
Adam B. Schiff,Democrat,Trump II,09-17 work,1302,0.6044546850998463
