src,dst,n,anger,sp,dp,cross
M000312,L000287,3,0.4196224162975947,Democrat,Democrat,False
C001035,K000383,7,0.0423742551356554,Republican,Independent,False
K000389,S000033,66,0.39604485430049174,Democrat,Independent,False
G000586,S001145,3,0.4237242713570595,Democrat,Democrat,False
W000802,S001150,4,0.5170492008328438,Democrat,Democrat,False
W000808,M000355,4,0.46201273798942566,Democrat,Republican,True
H001080,U000039,8,0.29717163427267224,Democrat,Democrat,False
H001076,B001288,3,0.032555337995290756,Democrat,Democrat,False
L000596,B001309,6,0.15021721801410118,Republican,Republican,False
A000370,T000476,3,0.34624632572134334,Democrat,Republican,True
T000461,B001135,3,0.018302809447050095,Republican,Republican,False
D000623,C000984,3,0.554087158292532,Democrat,Democrat,False
P000607,B001230,4,0.522791963070631,Democrat,Democrat,False
C001038,C000266,4,0.5011232867836952,Democrat,Republican,True
C001088,C000174,5,0.03717386592179537,Democrat,Democrat,False
S001150,F000062,3,0.7977179884910583,Democrat,Democrat,False
P000197,R000606,3,0.01072663813829422,Democrat,Democrat,False
B001243,B001277,10,0.3691024646162987,Republican,Democrat,True
R000577,B000944,3,0.04202306208511194,Democrat,Democrat,False
P000612,C001095,4,0.40944547578692436,Republican,Republican,False
L000571,S001217,3,0.696279764175415,Republican,Republican,False
D000629,H001080,5,0.3649646397680044,Democrat,Democrat,False
L000582,P000591,3,0.933786670366923,Democrat,Republican,True
S001181,G000359,3,0.3732123573621114,Democrat,Republican,True
B001286,D000563,3,0.018010081102450688,Democrat,Democrat,False
L000577,C001098,5,0.5922244787216187,Republican,Republican,False
C001070,M000303,3,0.0177817748238643,Democrat,Republican,True
W000817,P000617,17,0.2678944450967452,Democrat,Democrat,False
K000389,M001184,28,0.6550471832576606,Democrat,Republican,True
E000295,S000148,5,0.5837077349424362,Republican,Democrat,True
S000033,O000172,6,0.3173261055101951,Independent,Democrat,False
K000210,P000603,3,0.9279691974322001,Republican,Republican,False
G000565,J000289,4,0.9594647139310837,Republican,Republican,False
E000295,G000386,18,0.1722864086429278,Republican,Republican,False
S001226,M001176,4,0.5886270753107965,Democrat,Democrat,False
P000612,L000577,3,0.3201212038596471,Republican,Republican,False
H001076,S001181,47,0.3526504233756915,Democrat,Democrat,False
M000133,M001169,3,0.4690395879248778,Democrat,Democrat,False
W000437,S001184,3,0.31599042285233736,Republican,Republican,False
F000465,S001176,3,0.2667672522366047,Republican,Republican,False
M001176,W000817,3,0.23962858940164247,Democrat,Democrat,False
U000031,D000624,12,0.13993587158620358,Republican,Democrat,True
L000575,J000293,4,0.6399431861937046,Republican,Republican,False
W000822,B001243,3,0.6981203158696493,Democrat,Republican,True
B000944,P000449,6,0.2404172501216332,Democrat,Republican,True
C001090,I000056,5,0.28613993525505066,Democrat,Republican,True
C001114,H000338,3,0.01830789012213548,Republican,Republican,False
S000148,R000146,9,0.2070253569011887,Democrat,Democrat,False
L000592,T000481,3,0.10456179951628049,Democrat,Democrat,False
S001156,D000216,3,0.3510257142285506,Democrat,Democrat,False
J000289,N000002,5,0.7518489241600037,Republican,Democrat,True
T000482,M000133,4,0.014040831010788679,Democrat,Democrat,False
M001184,G000578,3,0.7587631543477377,Republican,Republican,False
S000033,O000173,5,0.14722949117422104,Independent,Democrat,False
W000802,P000197,3,0.3620629496872425,Democrat,Democrat,False
S000148,G000555,7,0.19876527839473315,Democrat,Democrat,False
C001113,M001111,4,0.27377109276130795,Democrat,Democrat,False
B001288,M000639,4,0.22509869374334812,Democrat,Democrat,False
S000148,W000802,3,0.32031837819765013,Democrat,Democrat,False
J000288,L000287,4,0.26510385423898697,Democrat,Democrat,False
C001098,S000033,7,0.893711507320404,Republican,Independent,False
G000551,S001145,3,0.27021583914756775,Democrat,Democrat,False
K000367,S001150,4,0.07429881766438484,Democrat,Democrat,False
S001181,M000355,8,0.613592968787998,Democrat,Republican,True
O000174,B001288,3,0.30987924585739773,Democrat,Democrat,False
B001135,T000476,4,0.07812025770545006,Republican,Republican,False
J000289,C000984,4,0.44321954250335693,Republican,Democrat,True
L000174,F000062,3,0.397675688068072,Democrat,Democrat,False
N000002,R000606,3,0.46546781063079834,Democrat,Democrat,False
C000174,B001277,3,0.5038178687294325,Democrat,Democrat,False
P000449,B000944,4,0.15101745165884495,Republican,Democrat,True
C001087,C001095,3,0.5886132071415583,Republican,Republican,False
C001070,P000591,5,0.8525864005088806,Democrat,Republican,True
B001277,G000359,3,0.38268979887167615,Democrat,Republican,True
D000622,D000563,27,0.23081627693372192,Democrat,Democrat,False
B001319,C001098,3,0.2998741250485182,Republican,Republican,False
K000384,M000303,3,0.6457766418655714,Democrat,Republican,True
O000173,P000617,3,0.38029775644342106,Democrat,Democrat,False
B001288,S000148,4,0.7157895241398364,Democrat,Democrat,False
M000194,O000172,5,0.7402797877788544,Republican,Democrat,True
J000299,J000289,4,0.8736783862113953,Republican,Republican,False
L000174,G000386,3,0.5392030067741871,Democrat,Republican,True
W000779,M001176,3,0.02731953312953313,Democrat,Democrat,False
C001098,L000577,12,0.2764385440386832,Republican,Republican,False
L000557,M001169,3,0.6206933806339899,Democrat,Democrat,False
A000360,S001184,3,0.2810284545024236,Republican,Republican,False
D000563,W000817,7,0.44768597930669785,Democrat,Democrat,False
S001217,J000293,3,0.36049650112787884,Republican,Republican,False
P000595,P000449,3,0.02186923287808895,Democrat,Republican,True
J000293,R000146,3,0.8297683596611023,Republican,Democrat,True
M001188,M000133,3,0.055113065987825394,Democrat,Democrat,False
T000481,O000173,4,0.15294973272830248,Democrat,Democrat,False
B001261,P000197,13,0.8136575520038605,Republican,Democrat,True
M001176,M001111,6,0.5655533748989304,Democrat,Democrat,False
C001071,M000639,5,0.1587734542787075,Republican,Democrat,True
M000133,W000802,5,0.2053726553916931,Democrat,Democrat,False
